timestamp,ax,ay,az,gx,gy,gz,fk_lx,fk_ly,fk_lz,fk_rx,fk_ry,fk_rz,contact_l,contact_r,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1700000000.000000,-0.062105,-0.032749,9.917859,0.002439,0.001257,-0.001280,-0.022800,0.142500,-0.821500,-0.022800,-0.142500,-0.821500,1,1,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.005000,0.011243,0.007324,9.799175,-0.004493,-0.002000,0.004943,-0.022800,0.142500,-0.821500,-0.022800,-0.142500,-0.821500,1,1,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.010000,0.014684,0.036024,9.905324,-0.000770,-0.003917,-0.000402,-0.022800,0.142500,-0.821500,-0.022800,-0.142500,-0.821500,1,1,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.015000,0.026045,-0.024408,9.866482,0.000102,-0.000997,0.000264,-0.022800,0.142500,-0.821500,-0.022800,-0.142500,-0.821500,1,1,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.020000,0.057759,-0.082447,9.841188,0.002674,-0.002425,0.000729,-0.022800,0.142500,-0.821500,-0.022800,-0.142500,-0.821500,1,1,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.025000,0.050641,-0.076613,9.848246,0.000203,-0.004394,-0.002126,-0.022800,0.142500,-0.821500,-0.022800,-0.142500,-0.821500,1,1,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.030000,-0.037214,-0.068877,9.812017,-0.000018,0.001160,-0.003323,-0.022800,0.142500,-0.821500,-0.022800,-0.142500,-0.821500,1,1,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.035000,-0.003199,0.115879,9.828944,0.004961,0.000493,0.000111,-0.022800,0.142500,-0.821500,-0.022800,-0.142500,-0.821500,1,1,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.040000,-0.054467,0.044711,9.910662,0.002840,-0.000235,0.000639,-0.022800,0.142500,-0.821500,-0.022800,-0.142500,-0.821500,1,1,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.045000,0.006527,0.057015,9.837859,-0.003338,-0.002235,0.000038,-0.022800,0.142500,-0.821500,-0.022800,-0.142500,-0.821500,1,1,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
