timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,5.78364e-05,-0.000114615,-3.60886e-10,-0.000694395,-0.000849615,-2.12444e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000827763,5.58863e-05,-1.36868e-08,-0.000856909,-0.00165977,-2.18821e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00225563,0.00231001,-6.89381e-08,-0.00291876,-0.00296263,-3.12247e-05,0.999991,0,0,0.6525,0,0,0,1
1.7e+09,-0.0039171,0.00436599,-1.03741e-07,-0.00479652,-0.00447648,-5.11443e-05,0.999978,0,0,0.6525,0,0,0,1
1.7e+09,-0.00332418,0.00448461,2.72566e-07,-0.00490413,-0.00393159,-4.46245e-05,0.99998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00493607,0.00463535,3.80359e-07,-0.00504129,-0.00539981,-4.13309e-05,0.999973,0,0,0.6525,0,0,0,1
1.7e+09,-0.00302738,0.0059554,3.71623e-07,-0.00624574,-0.00365423,-8.35718e-05,0.999974,0,0,0.6525,0,0,0,1
1.7e+09,-0.00298457,0.00615802,2.01528e-07,-0.00642877,-0.00361222,-8.12429e-05,0.999973,0,0,0.6525,0,0,0,1
1.7e+09,-0.00257261,0.00560454,6.88461e-07,-0.00592048,-0.00323314,-5.11728e-05,0.999977,0,0,0.6525,0,0,0,1
1.7e+09,-0.00332287,0.00677179,6.29178e-07,-0.0069829,-0.0039152,-5.30971e-05,0.999968,0,0,0.6525,0,0,0,1
1.7e+09,-0.00345864,0.00738033,2.05601e-07,-0.00753371,-0.0040359,-4.49433e-05,0.999963,0,0,0.6525,0,0,0,1
1.7e+09,-0.00312781,0.0063511,7.15681e-07,-0.0065904,-0.0037311,-5.32552e-05,0.999971,0,0,0.6525,0,0,0,1
1.7e+09,-0.00291542,0.00581261,7.69478e-07,-0.00609466,-0.00353464,-4.92381e-05,0.999975,0,0,0.6525,0,0,0,1
1.7e+09,-0.00268785,0.00595484,7.91594e-07,-0.00621969,-0.00332363,-5.21654e-05,0.999975,0,0,0.6525,0,0,0,1
1.7e+09,-0.00352983,0.00519731,1.03813e-06,-0.00552386,-0.0040871,-1.7991e-05,0.999976,0,0,0.6525,0,0,0,1
1.7e+09,-0.00239141,0.00391682,1.45744e-06,-0.00435301,-0.00304455,-3.19771e-05,0.999986,0,0,0.6525,0,0,0,1
1.7e+09,-0.00240271,0.00254946,1.5858e-06,-0.00310501,-0.0030513,-1.82594e-05,0.999991,0,0,0.6525,0,0,0,1
1.7e+09,-0.00154888,0.0025317,1.56728e-06,-0.00308877,-0.00226986,-2.06421e-05,0.999993,0,0,0.6525,0,0,0,1
1.7e+09,-0.00130694,0.00204102,1.72849e-06,-0.00264112,-0.00204678,-1.11936e-05,0.999994,0,0,0.6525,0,0,0,1
1.7e+09,-0.000429697,0.0021355,2.40804e-06,-0.00272737,-0.00124518,3.27536e-06,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,-0.000262602,0.00170317,2.4096e-06,-0.00233217,-0.00109368,1.49951e-05,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.000284347,0.00100744,1.96525e-06,-0.00169838,-0.00111518,-8.80925e-07,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000274421,0.000243397,9.13362e-07,-0.00100493,-0.00110716,-4.32031e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00062191,0.000272659,3.75279e-08,-0.00103546,-0.00142495,-7.05518e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000623759,-9.39487e-05,-7.92959e-07,-0.000705275,-0.00142603,-0.000116731,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000996237,-0.000398472,-1.35334e-06,-0.000433651,-0.00176632,-0.000206125,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000850654,-0.000366178,-1.66144e-06,-0.000467,-0.00163048,-0.000164771,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000465903,-0.000379421,-2.02377e-06,-0.000457302,-0.00127626,-8.85054e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000330639,-0.000595742,-2.42849e-06,-0.000262963,-0.0011535,-9.72022e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,3.93358e-05,-0.00054831,-2.07502e-06,-0.000308575,-0.00081623,-2.97602e-06,1,0,0,0.6525,0,0,0,1
1.7e+09,9.5765e-07,-0.000406011,-1.52335e-06,-0.000442615,-0.000854364,-2.58249e-07,1,0,0,0.6525,0,0,0,1
1.7e+09,-0.000131044,-0.000254214,-9.75566e-07,-0.000585323,-0.000978344,-1.30525e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000377367,-0.000226128,-1.30711e-07,-0.000615862,-0.00120595,-0.000109453,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000455779,-0.000540767,7.85131e-08,-0.000331807,-0.00127774,-0.000196692,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000441402,-0.000411714,-1.9612e-07,-0.000453514,-0.00126474,-0.000153466,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000416076,-0.000335761,-5.2764e-07,-0.000525429,-0.00124147,-0.000140127,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000416055,-0.000559989,-9.88978e-07,-0.000320929,-0.00124194,-0.000178586,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000504003,-0.000475969,-9.94978e-07,-0.000403421,-0.0013233,-0.000201901,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000520521,-0.000152738,-3.33841e-07,-0.000704858,-0.00133801,-0.000180664,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000592582,-0.000177094,8.06917e-08,-0.00068443,-0.00140307,-0.00021885,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00076785,-0.00013857,6.23415e-07,-0.000723934,-0.00156356,-0.000295026,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000653175,8.97915e-05,9.17401e-07,-0.000934616,-0.00145458,-0.000204128,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000590262,0.000201011,1.01294e-06,-0.00103628,-0.001395,-0.000163494,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000787823,0.000311438,1.37217e-06,-0.00113922,-0.00157695,-0.000241879,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00067994,0.000394851,1.88206e-06,-0.00121342,-0.00147465,-0.000186464,0.999998,0,0,0.6525,0,0,0,1
