timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,-6.47313e-05,-1.9879e-05,4.89107e-10,-0.000674424,-0.00108719,-2.42968e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000276423,-0.00063862,1.03829e-08,-0.000112537,-0.00127553,5.90649e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00183815,0.000350066,9.36354e-08,-0.00101882,0.000657883,1.31444e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00321928,0.00154814,7.54607e-08,-0.00211457,0.00191897,-1.703e-05,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,0.00353241,-0.000970084,3.2909e-07,0.00018403,0.00220446,6.45591e-06,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.00261011,0.000288006,6.66811e-07,-0.000967248,0.00136201,1.03786e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00153978,-0.000569247,6.96565e-07,-0.000186838,0.000384443,3.01218e-06,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00363693,-0.0016278,1.45906e-07,0.000776323,0.002298,4.45065e-06,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,0.00465528,-0.0006207,4.35951e-08,-0.000146744,0.00322626,-1.40813e-06,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,0.00452104,-0.00208154,1.32374e-07,0.00118393,0.00310062,-3.46017e-06,0.999994,0,0,0.6525,0,0,0,1
1.7e+09,0.00252404,-0.00107669,1.01106e-06,0.000262957,0.00127558,-1.15876e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00348689,-0.000744547,9.06722e-07,-4.19833e-05,0.00215203,1.3331e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.00138738,-0.000342488,1.98739e-06,-0.000412144,0.000234806,2.30101e-06,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00270049,0.000384496,1.55362e-06,-0.00107593,0.00143099,2.92307e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.000957278,-0.000688123,1.38835e-06,-9.99517e-05,-0.000160428,-9.15459e-06,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000651665,-0.000308927,1.13052e-06,-0.00044739,-0.00043933,5.28354e-06,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000219234,-0.0010173,1.07345e-06,0.000196553,-0.000834139,-5.8251e-06,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000205561,-0.00071161,1.40748e-06,-8.55533e-05,-0.000846922,-1.27016e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00013687,0.000239644,1.80883e-06,-0.000956666,-0.000910025,-5.33478e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000867269,-0.000173938,1.48034e-06,-0.000581299,-0.00182574,-6.42632e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00109059,0.000367284,1.64484e-06,-0.0010782,-0.00202643,-0.000109541,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-7.48888e-05,-5.02755e-05,2.1327e-06,-0.000696196,-0.00109682,-6.78988e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000173744,0.000168032,2.00381e-06,-0.000897195,-0.00118581,-0.000107503,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00058742,-6.68652e-06,2.40065e-06,-0.000736757,-0.00156218,-5.73539e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000340649,-6.03447e-05,2.62276e-06,-0.00068852,-0.00133469,-5.93625e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000166443,-0.000288316,2.25329e-06,-0.00047995,-0.00117378,-2.04973e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000156692,-0.000443621,1.60119e-06,-0.000339193,-0.000877114,-2.23009e-05,1,0,0,0.6525,0,0,0,1
