timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,-3.48883e-05,-6.94793e-05,2.89547e-10,-0.000732145,-0.000928324,-2.80941e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000419888,0.000300466,-2.03895e-08,-0.00107309,-0.000512677,-2.11785e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000722492,-7.91346e-05,-1.85843e-08,-0.000729051,-0.00155573,-5.90928e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00137048,0.000626103,4.06447e-07,-0.00137532,0.000356092,8.60045e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000607357,-0.00123646,1.13165e-06,0.000321907,-0.00144991,1.52742e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000556498,-0.000373125,1.68488e-06,-0.000470363,-0.000386481,1.11974e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000396647,-0.00199113,1.55801e-06,0.00100256,-0.000532183,2.23583e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000172567,-0.000543165,1.69395e-06,-0.000323678,-0.00105097,3.36027e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,3.86e-05,-0.0010826,1.7974e-06,0.000164841,-0.000857161,3.57386e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00103163,-0.0013248,2.25196e-06,0.000381189,4.89334e-05,2.53703e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000644622,-0.00109755,2.08848e-06,0.000168671,-0.000305064,1.2095e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00223713,-0.00104014,1.84095e-06,0.000112137,0.0011461,3.52566e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00296971,-0.00118557,1.30814e-06,0.000240183,0.0018104,4.28248e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.00260512,0.000872719,1.50212e-06,-0.0016417,0.00147394,2.76989e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.00182763,0.00204262,1.46934e-06,-0.00271049,0.000761345,2.37036e-05,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,0.000843218,0.00217936,1.43151e-06,-0.00283614,-0.000138977,1.3899e-06,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,-0.000469089,0.00216908,1.54702e-06,-0.00282691,-0.0013363,1.40606e-05,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.000213871,0.00274244,1.34024e-06,-0.0033495,-0.00110266,-5.19858e-06,0.999994,0,0,0.6525,0,0,0,1
1.7e+09,-0.000475509,0.00219317,1.85863e-06,-0.00284693,-0.00133997,3.71814e-06,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.000856188,0.00201526,2.75813e-06,-0.00268317,-0.00168539,3.98118e-05,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.00104968,0.00219299,2.91235e-06,-0.00284404,-0.00185961,5.68455e-05,0.999994,0,0,0.6525,0,0,0,1
1.7e+09,-0.00141525,0.00241512,2.60281e-06,-0.00304488,-0.00219058,8.07403e-05,0.999993,0,0,0.6525,0,0,0,1
1.7e+09,-0.00125971,0.00214708,2.0396e-06,-0.00279883,-0.00204495,7.63751e-05,0.999994,0,0,0.6525,0,0,0,1
1.7e+09,-0.00102445,0.00192844,1.21288e-06,-0.00259718,-0.00182719,6.2802e-05,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.00145734,0.00226717,3.73539e-07,-0.00290424,-0.00222008,0.000111975,0.999993,0,0,0.6525,0,0,0,1
1.7e+09,-0.00113821,0.00201245,1.27678e-08,-0.00266946,-0.00192574,8.81855e-05,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.00118833,0.00181984,-2.53735e-07,-0.00248999,-0.0019691,0.000138043,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.00128829,0.00153878,-4.95298e-07,-0.00223094,-0.00205765,0.000161411,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.00128944,0.000999248,-6.66886e-07,-0.00173503,-0.0020565,0.000211123,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,-0.00132677,0.000748904,-2.67583e-07,-0.00150651,-0.00208874,0.00024912,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00145548,0.00080172,1.06357e-07,-0.00155689,-0.00220421,0.000261186,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,-0.00131006,0.000773461,5.03005e-07,-0.00153312,-0.00206817,0.000259289,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00150424,0.000632518,1.17084e-06,-0.00140566,-0.00224396,0.000268919,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,-0.00158475,0.000640653,1.45132e-06,-0.0014162,-0.00231436,0.000273201,0.999996,0,0,0.6525,0,0,0,1
