timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,3.00199e-06,-2.45987e-05,-1.15012e-10,-0.000243258,-0.000839869,-3.57007e-06,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00109062,-0.000461306,5.13305e-08,0.000154566,0.000148832,1.89587e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00116174,0.00038546,4.26668e-07,-0.00062062,0.000207555,1.45404e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,-0.000309524,-0.0009859,8.5375e-07,0.000630754,-0.00114059,2.25868e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00182267,-6.99454e-05,1.03469e-06,-0.00020768,-0.00252483,1.20893e-05,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00407872,0.00101452,9.45355e-07,-0.00119903,-0.00458542,1.73614e-05,0.999989,0,0,0.6525,0,0,0,1
1.7e+09,-0.00636222,0.00194458,9.97399e-08,-0.00204802,-0.00666809,-9.91196e-07,0.999976,0,0,0.6525,0,0,0,1
1.7e+09,-0.00458388,0.0012992,5.83767e-07,-0.00145816,-0.00504167,1.36194e-05,0.999986,0,0,0.6525,0,0,0,1
1.7e+09,-0.00370639,-0.000981157,9.24024e-07,0.000623149,-0.0042387,9.43151e-05,0.999991,0,0,0.6525,0,0,0,1
1.7e+09,-0.00182066,-0.000683957,1.24818e-06,0.000350243,-0.00251618,8.28842e-05,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-9.13973e-05,0.0010781,1.28215e-06,-0.00126032,-0.000938719,1.35246e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000516415,-0.00109197,8.68367e-07,0.00071852,-0.00132704,6.53e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00165425,-0.00124836,1.04583e-06,0.000858029,-0.00236474,6.53997e-05,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00138425,-0.00092916,1.23158e-06,0.000563745,-0.00211735,6.81169e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00171775,0.000294904,8.98454e-07,-0.000554066,-0.00242087,8.13802e-05,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00149355,0.000291366,1.56266e-07,-0.000551558,-0.00221485,9.88726e-05,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00182546,-0.000665181,-4.70354e-07,0.00031704,-0.00251666,4.93276e-05,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00183223,-0.000180889,-3.93841e-07,-0.000126951,-0.00252153,7.40027e-05,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00155486,0.000345142,5.24842e-08,-0.000608286,-0.0022672,8.7393e-05,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00139104,0.000378915,9.03828e-08,-0.000639998,-0.00211644,8.65847e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000568978,0.000696756,3.06753e-07,-0.000930021,-0.00136556,9.64145e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,1.49073e-05,0.0010594,6.55289e-07,-0.00125947,-0.000834728,0.000118296,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000436823,0.000889968,8.52709e-07,-0.00110378,-0.00045255,0.000108252,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,6.55835e-06,0.00107256,9.83617e-07,-0.00126869,-0.000848667,0.000131573,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000339577,0.00101267,1.00097e-06,-0.00121305,-0.00116723,0.000129429,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000814248,0.00106196,1.65848e-06,-0.00125748,-0.00160212,0.00013751,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000840353,0.00155826,1.97506e-06,-0.00170787,-0.00162542,0.000250582,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00082981,0.00144469,1.7618e-06,-0.00160085,-0.00161595,0.000225608,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.000671634,0.00102106,1.49968e-06,-0.00121279,-0.00147134,0.000131465,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000723137,0.00102273,1.01052e-06,-0.001213,-0.00151939,0.000136827,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000903366,0.00107845,7.86984e-07,-0.00126163,-0.00168479,0.000166048,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000800548,0.00131059,1.11414e-06,-0.00147334,-0.00159055,0.00018858,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00100794,0.0012748,1.34877e-06,-0.00143712,-0.00177994,0.000202123,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.000935935,0.0011322,1.38912e-06,-0.00130383,-0.00171254,0.000174573,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000906659,0.00109327,1.66658e-06,-0.00126647,-0.00168475,0.000164242,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000736812,0.00104531,1.56747e-06,-0.00122112,-0.00152779,0.000140164,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000828206,0.00088441,1.38223e-06,-0.00107041,-0.00161163,0.000156016,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000663066,0.00074877,1.3655e-06,-0.0009451,-0.00145828,0.000128624,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000544111,0.000662522,1.07465e-06,-0.000864872,-0.00134834,0.000127894,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000642793,0.000494976,8.07285e-07,-0.000709997,-0.00143885,0.000154483,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000475403,0.000260241,6.02826e-07,-0.000494965,-0.00128356,0.000132365,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000486424,0.000351641,8.28769e-07,-0.000582597,-0.00129401,0.000118974,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000464331,0.000183636,1.40681e-06,-0.000428466,-0.00127352,0.000145206,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000410016,0.00033469,1.71514e-06,-0.000571162,-0.0012236,0.000130436,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000361287,0.000219942,1.68822e-06,-0.000465706,-0.00117916,0.000117445,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000501218,0.000115536,1.1988e-06,-0.000369535,-0.00131001,0.000135023,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000493582,6.63434e-05,8.96564e-07,-0.000326649,-0.00130162,0.000134056,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000465175,9.86726e-05,5.11905e-07,-0.000358516,-0.00127464,0.00015378,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000438914,0.000164523,4.75116e-07,-0.000421406,-0.0012508,0.000160296,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000441026,0.000204536,3.41865e-07,-0.00046332,-0.00126086,0.000168031,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000443851,0.000133153,-4.04247e-08,-0.000399882,-0.00126217,0.000143195,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000442244,6.97083e-05,-2.46698e-07,-0.00034065,-0.00125865,0.000140094,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000456459,3.19099e-05,-3.24327e-07,-0.000313523,-0.00126314,0.000109399,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000452391,-3.52081e-05,-4.00461e-07,-0.000250694,-0.0012498,5.75331e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000468681,-0.000106063,-6.6948e-07,-0.000180552,-0.00128095,8.02288e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000454873,-0.000138181,-8.85275e-07,-0.000160999,-0.00126697,7.86386e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000415951,-0.000190351,-9.80327e-07,-0.000114721,-0.00122888,7.31586e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000404445,-0.000232447,-8.26677e-07,-7.57043e-05,-0.00122848,9.98993e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000381491,-0.000275831,5.54544e-08,-3.40717e-05,-0.00121129,0.000128702,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000345264,-0.000317131,6.63948e-07,6.5547e-06,-0.00117086,0.000134525,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000329011,-0.000377324,7.18464e-07,6.70463e-05,-0.00116026,0.000156346,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000288137,-0.000413152,1.8922e-07,9.46832e-05,-0.00112028,0.000152222,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000264133,-0.000421908,-6.78416e-08,9.51745e-05,-0.00110496,0.000162367,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000231902,-0.000438649,-1.70979e-07,0.000111239,-0.00107732,0.000190901,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000186176,-0.000448582,-2.15672e-07,0.000119698,-0.00103215,0.00020674,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00014955,-0.000473076,-2.67557e-08,0.000154012,-0.000994405,0.000246053,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000125529,-0.000456513,1.97517e-07,0.000131463,-0.000974816,0.000238809,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-9.42827e-05,-0.000463107,4.93369e-07,0.000140097,-0.000947228,0.000261175,1,0,0,0.6525,0,0,0,1
1.7e+09,-4.91173e-05,-0.000450035,6.55678e-07,0.000137121,-0.000908284,0.000292548,1,0,0,0.6525,0,0,0,1
1.7e+09,-1.07549e-05,-0.000450151,7.90074e-07,0.000135513,-0.000880297,0.00030697,1,0,0,0.6525,0,0,0,1
1.7e+09,4.40408e-05,-0.000445135,9.4506e-07,0.000126362,-0.000836392,0.000315003,1,0,0,0.6525,0,0,0,1
1.7e+09,8.77645e-05,-0.00045242,5.80855e-07,0.000129205,-0.000797445,0.000327189,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000110991,-0.00043894,-9.2423e-08,0.000118036,-0.000785382,0.000334077,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000122438,-0.000423703,-5.81657e-07,0.000103957,-0.000780264,0.000339756,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000121131,-0.000414359,-6.34386e-07,0.000102134,-0.000778257,0.000341353,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000121644,-0.00040933,-6.90824e-07,0.000101661,-0.000780128,0.000344005,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000128629,-0.000414483,-8.59223e-07,0.000108259,-0.000772885,0.00035474,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000159797,-0.000406848,-9.67061e-07,9.95265e-05,-0.000743062,0.000360793,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00016995,-0.00038065,-6.18451e-07,7.03771e-05,-0.000729465,0.000373911,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000168271,-0.000369695,-4.31908e-07,6.22049e-05,-0.000733774,0.000371291,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000160556,-0.000338458,-3.27858e-07,2.80822e-05,-0.000741074,0.000373874,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000157621,-0.000311316,-2.18634e-08,-3.15448e-06,-0.000746638,0.000378701,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000143114,-0.000281295,6.31968e-07,-3.0941e-05,-0.00076934,0.00035496,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000151962,-0.00026714,1.26271e-06,-4.39961e-05,-0.000767529,0.000357361,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000165205,-0.000233557,1.52512e-06,-7.27768e-05,-0.000758248,0.00035969,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000182607,-0.000187376,1.30998e-06,-0.000117237,-0.00073549,0.00037867,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000204742,-0.000140381,1.15206e-06,-0.000152103,-0.000715127,0.000392769,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000225164,-0.000112644,9.88861e-07,-0.000164841,-0.000700756,0.000401374,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000251723,-8.20011e-05,1.40832e-06,-0.000182194,-0.000684853,0.000404688,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000285675,-6.16928e-05,1.77421e-06,-0.000185472,-0.000653901,0.000413593,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000310802,-5.10385e-05,1.36517e-06,-0.000188682,-0.000640927,0.000418867,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000305002,-4.29688e-05,9.52404e-07,-0.000196597,-0.000652153,0.000423085,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000291468,-4.3483e-05,9.78028e-07,-0.00019738,-0.00066945,0.000435095,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00027711,-3.96409e-05,1.37826e-06,-0.000197562,-0.00068545,0.00044045,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000264549,-6.40828e-06,1.2015e-06,-0.000224483,-0.00069823,0.000430628,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000247451,2.86356e-05,7.87993e-07,-0.000256698,-0.000712538,0.00041058,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000215837,3.76123e-05,6.52164e-07,-0.000261359,-0.000748524,0.000406672,1,0,0,0.6525,0,0,0,1
