timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,0,0,0,-0.000340673,-0.00115654,0,0.999999,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,-7.43159e-06,-1.32184e-05,-1.65764e-05,-0.000326998,-0.00116237,1.57226e-05,0.999999,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.000170444,-7.37979e-05,-1.22821e-06,-0.000270491,-0.000947,3.96295e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,-0.000654134,7.23874e-05,6.04779e-06,-0.000470611,-0.00183305,5.19896e-05,0.999998,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.000391875,-0.000344199,7.05837e-06,-2.19159e-05,-0.000597473,6.96221e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,4.64926e-06,-0.000143894,1.11736e-05,-0.000248409,-0.00107914,5.72401e-05,0.999999,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.00145994,7.17928e-05,7.35649e-06,-0.000509825,0.000410567,3.57077e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.000807316,-0.000352267,1.29862e-05,-6.06081e-05,-0.000410121,4.28683e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.0013397,1.81831e-05,1.16595e-05,-0.00046329,0.000108374,3.41399e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.00101973,-9.68741e-05,1.09997e-05,-0.000362711,-0.000307718,4.99497e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.000362083,-0.000264863,9.53638e-06,-0.000188912,-0.00093779,7.53308e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.000216335,-6.13191e-05,5.5244e-06,-0.000349324,-0.00106429,6.65433e-05,0.999999,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.000239331,2.11088e-05,5.97206e-06,-0.000373625,-0.000976843,4.37151e-05,0.999999,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,-0.000129298,0.000367764,8.30182e-06,-0.000697877,-0.00134608,-1.29442e-07,0.999999,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.00014843,0.00016347,9.74466e-06,-0.000474624,-0.0010825,4.73818e-05,0.999999,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.000474923,-2.9543e-05,1.35613e-05,-0.00029218,-0.000808118,6.22145e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.000523584,-0.000298414,1.27949e-05,-2.22708e-05,-0.00082275,0.000104895,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.000678199,0.000160197,1.13011e-05,-0.000473403,-0.000704897,6.58429e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.000864254,-6.29889e-05,1.17799e-05,-0.000259905,-0.000528787,6.59254e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.000722442,-0.000107768,1.05352e-05,-0.0002768,-0.000689024,2.90027e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.000710634,-7.68699e-05,1.34821e-05,-0.00030912,-0.00068715,4.36419e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.000344616,9.361e-05,1.17405e-05,-0.000471206,-0.001077,-2.05658e-05,0.999999,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.000947495,0.000172618,1.49941e-05,-0.000526522,-0.000468735,-3.62042e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.000313483,7.1204e-05,7.37361e-06,-0.000460369,-0.00112664,-9.75642e-06,0.999999,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.000989239,-6.29775e-05,7.45679e-06,-0.000342235,-0.000496848,2.93634e-06,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.0010878,-0.000127488,4.74462e-06,-0.000262286,-0.000471377,6.3643e-06,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.00135005,0.000152579,6.41771e-06,-0.000536548,-0.000215273,9.56529e-07,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.00106918,1.77138e-05,5.34545e-06,-0.000429896,-0.000466339,2.73584e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.00119023,-0.00023246,4.62912e-06,-0.000187301,-0.000359998,6.36651e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.00114765,-7.35079e-05,6.21695e-06,-0.000323228,-0.00042851,4.88622e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.00128968,-0.000214416,8.93768e-06,-0.000198864,-0.000324147,3.43424e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.0014902,-0.000382787,3.42061e-06,-1.91319e-05,-0.000177642,4.8778e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.00151246,-0.000170876,8.96407e-06,-0.000197259,-0.000218909,2.26307e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.00190545,3.35095e-05,9.61561e-06,-0.000433475,0.000109584,-1.24772e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.00179586,-0.000513248,4.22258e-06,4.31114e-05,-9.38944e-06,-7.27117e-06,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.00178568,-0.000322841,3.53791e-06,-0.000157033,-2.71707e-05,3.48041e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.00221545,-0.000545255,2.71807e-06,5.90003e-05,0.000353249,7.71418e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.0019701,-0.000367771,6.61262e-06,-7.80475e-05,9.92064e-05,6.80691e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.00228648,-0.000429031,5.10897e-06,6.69601e-06,0.00036773,7.21848e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.0022497,-0.000264715,8.61356e-06,-0.000137929,0.000332647,8.48731e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.00205847,-0.000222123,6.25088e-06,-0.000162977,0.00014955,4.42085e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
1.7e+09,0.00251449,-0.000270812,9.13397e-06,-0.000101036,0.000553716,5.7942e-05,1,     0,     0,0.6525,       0,       0,0.167133,0.985934
