timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,0,0,0,-0.000497893,-0.044741,0,0.998998,     0,     0,0.6525,        0,-0.043619,        0, 0.999048
1.7e+09,5.29335e-05,-1.97024e-05,-1.65675e-05,-0.000484347,-0.0447009,-3.74178e-06,0.999,     0,     0,0.6525,        0,-0.043619,        0, 0.999048
1.7e+09,0.000360297,-0.000115919,1.03623e-06,-0.000414426,-0.0444071,-1.44865e-05,0.999013,     0,     0,0.6525,        0,-0.043619,        0, 0.999048
1.7e+09,3.29825e-05,-0.000336848,8.66208e-06,-0.000191823,-0.0447988,-1.14734e-05,0.998996,     0,     0,0.6525,        0,-0.043619,        0, 0.999048
1.7e+09,0.000580682,5.83901e-05,1.44367e-05,-0.000670045,-0.0441732,5.4892e-05,0.999024,     0,     0,0.6525,        0,-0.043619,        0, 0.999048
1.7e+09,0.000164089,-0.000180579,9.92258e-06,-0.000403144,-0.0446318,2.06299e-05,0.999003,     0,     0,0.6525,        0,-0.043619,        0, 0.999048
1.7e+09,0.000491881,0.000222972,1.01283e-05,-0.00083955,-0.0443154,0.000101997,0.999017,     0,     0,0.6525,        0,-0.043619,        0, 0.999048
1.7e+09,0.000622126,-2.70107e-05,8.23698e-06,-0.00054173,-0.0442185,6.08418e-05,0.999022,     0,     0,0.6525,        0,-0.043619,        0, 0.999048
1.7e+09,0.000644778,0.000397802,1.10856e-05,-0.00103849,-0.0442371,0.000191695,0.999021,     0,     0,0.6525,        0,-0.043619,        0, 0.999048
1.7e+09,0.000773171,-0.000321657,7.6971e-06,-0.000227005,-0.0441066,-2.11017e-05,0.999027,     0,     0,0.6525,        0,-0.043619,        0, 0.999048
1.7e+09,0.000365635,-0.000366206,1.12746e-05,-0.000252185,-0.0444996,3.34486e-05,0.999009,     0,     0,0.6525,        0,-0.043619,        0, 0.999048
1.7e+09,0.000596215,-0.0012797,9.14554e-06,0.000623146,-0.0442598,-0.00024444,0.99902,     0,     0,0.6525,        0,-0.043619,        0, 0.999048
1.7e+09,0.000364307,-0.00131901,9.35304e-06,0.000613149,-0.0445123,-0.000253011,0.999009,     0,     0,0.6525,        0,-0.043619,        0, 0.999048
1.7e+09,0.000493699,-0.000967388,6.65623e-06,0.000216143,-0.0443657,-0.000115705,0.999015,     0,     0,0.6525,        0,-0.043619,        0, 0.999048
1.7e+09,0.000488294,-0.00148543,1.21773e-05,0.000701812,-0.0443734,-0.000260362,0.999015,     0,     0,0.6525,        0,-0.043619,        0, 0.999048
1.7e+09,0.000386929,-0.000766021,1.24786e-05,-3.58992e-05,-0.0444682,5.02199e-06,0.999011,     0,     0,0.6525,        0,-0.043619,        0, 0.999048
