timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,0,0,0,-0.000790994,-0.000898665,0,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,9.1476e-06,-4.91331e-05,-1.66696e-05,-0.000752413,-0.000886488,-2.74481e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,3.93939e-05,-0.000423807,-2.5291e-06,-0.00035227,-0.000832261,-8.90266e-06,1,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000167977,0.000195172,4.5532e-06,-0.00103109,-0.00100034,1.02054e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000747815,-0.000373774,4.40907e-06,-0.000359338,-0.00163093,1.96352e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000248564,-0.000126291,1.0219e-05,-0.000645481,-0.00106982,8.86117e-07,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00119493,-0.00096866,6.15035e-06,0.000205195,-0.00208399,5.00276e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00029777,-0.000719187,1.16569e-05,-0.000132926,-0.00107737,7.77259e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000914664,-0.000862947,7.68204e-06,-2.81118e-05,-0.0017074,6.97677e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000968864,-0.00109169,6.9268e-06,0.000176057,-0.00174789,0.000109841,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000365468,-0.00048664,6.37458e-06,-0.000459528,-0.00113758,2.8052e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000531908,-0.000805251,8.24495e-06,-0.000146151,-0.00132436,6.10116e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000222755,-0.000573402,9.43566e-06,-0.00046462,-0.000966154,1.04801e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000625012,-0.00134688,1.17605e-05,0.000311993,-0.00137513,7.34897e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000508245,-0.00083107,1.18567e-05,-0.000246926,-0.00126807,-2.36478e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000385696,-0.000825751,8.27852e-06,-0.000229359,-0.00114845,2.33534e-06,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000676744,-0.000840794,9.09683e-06,-0.000274342,-0.0014563,1.54962e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000359066,-0.00142291,8.18086e-06,0.000275071,-0.00116,8.50571e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000316278,-0.00104137,1.06391e-05,-0.000137762,-0.00109262,6.05992e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000798115,-0.00119277,1.34694e-05,3.14278e-05,-0.00159038,5.91479e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00050992,-0.00111981,1.41871e-05,-3.96753e-05,-0.00127917,-3.72162e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000957016,-0.00112488,9.36428e-06,-5.53417e-05,-0.00165112,-4.88584e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00108269,-0.00137188,1.12286e-05,0.000136869,-0.0017288,-3.43319e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00111101,-0.00140058,8.34072e-06,0.000141942,-0.00172552,-4.43143e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00106945,-0.00164188,1.09526e-05,0.0003206,-0.00165505,-2.97988e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000973482,-0.00167059,1.15537e-05,0.000302292,-0.00153701,-4.02334e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00129347,-0.00173566,1.00099e-05,0.000350824,-0.00179727,-4.92013e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00116208,-0.0017178,8.80299e-06,0.000342226,-0.00162776,-3.29788e-06,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.0014949,-0.00159691,8.59248e-06,0.000218427,-0.00194447,-1.24579e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00131651,-0.00167822,5.02854e-06,0.000294901,-0.00176238,8.69051e-06,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00114502,-0.00180729,4.67578e-06,0.000412192,-0.0016397,1.51439e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000669487,-0.00163385,3.82856e-06,0.000181597,-0.00118449,-3.93946e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00113233,-0.00213063,4.85931e-06,0.000586462,-0.00161052,-2.80321e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00117121,-0.00212036,2.91222e-06,0.000586233,-0.00164399,-7.6852e-06,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00100978,-0.00204745,6.61514e-06,0.000507472,-0.00149638,-2.90136e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00134777,-0.00218853,3.58915e-06,0.000652333,-0.00178227,1.71208e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00149725,-0.00195868,7.80782e-06,0.000435397,-0.00187105,-1.0383e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00164791,-0.0020399,6.31505e-06,0.000465654,-0.00201245,-3.90754e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00148299,-0.00250486,9.04387e-06,0.000855847,-0.00183278,-3.28967e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00159882,-0.00241068,5.64942e-06,0.000756037,-0.00188779,-4.17612e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00180748,-0.00245988,6.32043e-06,0.00083158,-0.00203228,-4.65318e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00165971,-0.00211579,6.17497e-06,0.000494126,-0.00189585,-0.000125133,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00163688,-0.00241988,7.20978e-06,0.000757698,-0.00188387,-0.000126626,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00167545,-0.00257488,8.2651e-06,0.000862869,-0.00194526,-8.67556e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00152853,-0.00247666,7.07218e-06,0.000718951,-0.0018169,-0.000106534,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00190346,-0.00282206,5.93333e-06,0.00101116,-0.00213736,-5.38778e-05,0.999997,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00197011,-0.00257902,5.44975e-06,0.000800211,-0.00220384,-7.1945e-05,0.999997,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00180902,-0.00253192,4.34288e-06,0.000773429,-0.0020334,-0.000107421,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00202686,-0.0025838,7.66506e-06,0.000822642,-0.00216951,-0.000122901,0.999997,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00238055,-0.00265065,1.00903e-05,0.000829669,-0.00241456,-0.000117803,0.999997,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.0024039,-0.00305285,1.13473e-05,0.00113826,-0.00239114,-9.49376e-05,0.999996,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00253946,-0.00334714,9.6583e-06,0.00140218,-0.00251795,-7.21929e-05,0.999996,     0,     0,0.6525,0,0,0,1
