timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,0,0,0,-0.000790994,-0.000898665,0,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-7.35642e-05,-0.00014693,-1.66373e-05,-0.000675716,-0.000947957,4.83483e-06,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000720098,-0.00073062,-2.88711e-06,-0.000132699,-0.00159624,8.08227e-06,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-3.45502e-05,-0.000873136,4.31276e-06,-1.37683e-05,-0.000806235,2.59446e-05,1,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000721385,-0.000485262,4.78021e-06,-0.0004958,-0.00155931,1.08317e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000438737,-0.000206699,1.0524e-05,-0.000713838,-0.00119201,1.6899e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.0012299,0.000784878,6.02643e-06,-0.00173255,-0.0019607,-1.85278e-05,0.999997,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00109189,0.000137049,1.2349e-05,-0.00101651,-0.00176664,4.41344e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000984194,0.000173683,7.84768e-06,-0.00106925,-0.00159395,4.27177e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00126297,1.34686e-05,7.26016e-06,-0.000877589,-0.00187462,6.91268e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.000970254,-0.000372607,7.17369e-06,-0.000525223,-0.00153265,5.36189e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00134724,-0.000829102,8.39706e-06,-6.44363e-05,-0.00187168,8.47636e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00118969,-0.000522831,1.05405e-05,-0.00038884,-0.00164651,7.56521e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00165902,-0.000788435,1.29413e-05,-8.03689e-05,-0.00208796,0.000114582,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00141664,-0.000344445,1.29486e-05,-0.000572715,-0.00178505,1.60089e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00153842,-0.000411129,9.6547e-06,-0.00051601,-0.00186735,1.03767e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00131558,-0.000609978,1.03308e-05,-0.000353604,-0.00159706,2.47814e-05,0.999999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.0015639,-0.000637788,1.01184e-05,-0.000329493,-0.00181562,1.96282e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00175859,-0.000462592,1.22767e-05,-0.000529227,-0.00196275,-1.21477e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00174264,-0.000676787,1.4973e-05,-0.000324144,-0.00192115,1.19956e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00209356,-0.000562132,1.55462e-05,-0.000452601,-0.00223356,-5.75104e-06,0.999997,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00199278,-0.000595762,1.05199e-05,-0.000412423,-0.00208817,-1.68626e-05,0.999998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00227627,-0.000398119,1.24067e-05,-0.000650174,-0.00229384,-3.69259e-05,0.999997,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00256944,-0.000883722,9.55935e-06,-0.00016726,-0.00253347,1.89044e-05,0.999997,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00260755,-0.000757308,1.23632e-05,-0.000258716,-0.00255294,1.00635e-05,0.999997,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00273059,-0.000649363,1.27334e-05,-0.000349268,-0.00265401,-8.62865e-06,0.999996,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00283523,-0.000833342,1.09689e-05,-0.000176381,-0.00274125,3.82403e-06,0.999996,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00291366,-0.000836628,9.8875e-06,-0.00022941,-0.00273569,-3.32509e-06,0.999996,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00332014,-0.00109513,9.4734e-06,6.45517e-06,-0.00308861,1.56495e-05,0.999995,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00311344,-0.000982722,6.04449e-06,-4.61671e-05,-0.00285741,3.23438e-05,0.999996,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00326074,-0.000695249,5.98263e-06,-0.000282231,-0.0029804,-1.41516e-05,0.999996,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00313516,-0.000865753,5.69413e-06,-0.000164956,-0.00282387,-1.58419e-05,0.999996,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00351414,-0.00118067,6.26056e-06,8.75125e-05,-0.00314794,9.28191e-06,0.999995,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00359866,-0.00108901,4.27176e-06,-1.74843e-05,-0.00319643,1.62678e-05,0.999995,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00371102,-0.00112819,8.08555e-06,4.53545e-05,-0.00331686,1.92596e-05,0.999994,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00386457,-0.00079521,4.93521e-06,-0.000230119,-0.0034317,3.149e-05,0.999994,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00437672,-0.000884345,8.97654e-06,-0.000143733,-0.00389137,3.77974e-05,0.999992,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00411004,-0.000848495,7.68884e-06,-0.000197559,-0.00357923,2.81674e-05,0.999994,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00461898,-0.000954238,1.05911e-05,-0.000119142,-0.0040139,1.44585e-05,0.999992,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00443894,-0.000906316,6.8094e-06,-0.00016622,-0.00382798,2.76523e-05,0.999993,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00444413,-0.000792148,7.26201e-06,-0.00024765,-0.00380317,2.52568e-06,0.999993,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00449971,-0.000674713,7.40089e-06,-0.00039562,-0.00382218,7.11856e-06,0.999993,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00473983,-0.000947735,8.49617e-06,-0.000156262,-0.00399916,2.0523e-06,0.999992,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.004736,-0.000804109,9.78634e-06,-0.000329603,-0.0039097,8.12498e-06,0.999992,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00521175,-0.00113747,8.65833e-06,-4.30417e-06,-0.00432839,2.62978e-05,0.999991,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00513446,-0.000950192,7.47355e-06,-0.000158367,-0.00420063,-1.54953e-05,0.999991,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00545112,-0.00110021,6.99982e-06,6.32972e-06,-0.0044501,-2.12299e-05,0.99999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00561018,-0.000853035,6.14535e-06,-0.00025871,-0.00453114,-2.09586e-05,0.99999,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00607362,-0.00120327,9.07567e-06,7.51971e-05,-0.00489724,2.63093e-05,0.999988,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00610848,-0.000878579,1.13321e-05,-0.000233328,-0.0049004,-2.25046e-05,0.999988,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00600188,-0.000918289,1.26252e-05,-0.000198149,-0.00479906,2.89568e-06,0.999988,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00626341,-0.00106902,1.11481e-05,-9.02428e-05,-0.00498156,-9.03229e-07,0.999988,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00662558,-0.00112022,1.3034e-05,-3.62631e-05,-0.00523328,2.55337e-05,0.999986,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00659731,-0.00104801,1.00755e-05,-9.65766e-05,-0.00513965,6.67381e-06,0.999987,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00706167,-0.00106589,9.28136e-06,-9.73782e-05,-0.00550169,-4.18604e-06,0.999985,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00698408,-0.00101302,1.48551e-05,-0.000152485,-0.00538796,-9.28332e-06,0.999985,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00731255,-0.00116344,1.33113e-05,2.97721e-05,-0.00568065,-6.20176e-07,0.999984,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00699914,-0.000858466,8.55107e-06,-0.000192771,-0.005349,5.34423e-06,0.999986,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.0075128,-0.0006511,9.41079e-06,-0.000350331,-0.00579038,4.81022e-05,0.999983,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.0075283,-0.00083874,1.23359e-05,-0.000209396,-0.00580155,4.25073e-05,0.999983,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00766874,-0.000888393,1.10978e-05,-0.000205496,-0.00589822,-5.43317e-05,0.999983,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00796551,-0.00102017,7.60318e-06,-7.3272e-05,-0.0061225,-4.30601e-05,0.999981,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00815876,-0.000861318,6.19737e-06,-0.000226275,-0.00630766,-6.16572e-05,0.99998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00787526,-0.000865785,9.29405e-06,-0.000223293,-0.00606336,-5.84387e-05,0.999982,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00810054,-0.000908926,7.00464e-06,-0.000198522,-0.00625876,-6.66746e-05,0.99998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00819002,-0.000938499,7.71434e-06,-0.000189409,-0.00628602,-4.12489e-05,0.99998,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00864076,-0.0011324,7.79239e-06,-5.4601e-05,-0.00663724,-6.79138e-06,0.999978,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00855922,-0.00114412,4.13955e-06,-6.42227e-05,-0.0065046,2.33945e-06,0.999979,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00879362,-0.00121179,-3.76706e-07,-1.28472e-05,-0.0066518,1.31045e-05,0.999978,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00898825,-0.00121864,2.39083e-06,-2.29127e-05,-0.00679775,-5.6103e-06,0.999977,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00902382,-0.00112348,3.16316e-06,-0.000118655,-0.00676412,9.90285e-07,0.999977,     0,     0,0.6525,0,0,0,1
1.7e+09,-0.00930538,-0.00106137,3.29622e-06,-0.000133276,-0.00696624,-1.55096e-05,0.999976, 5e-06,     0,0.6525, 0, 0,-0, 1
1.7e+09,-0.00938402,-0.000869233,2.04841e-06,-0.000234145,-0.00700383,-5.15128e-05,0.999975,3.7e-05,      0, 0.6525, 0, 0,-0, 1
1.7e+09,-0.00930894,-0.000729055,8.38304e-06,-0.000353437,-0.0070094,-9.0704e-05,0.999975,0.000122,   1e-06,0.652501,    0,1e-06,   -0,    1
1.7e+09,-0.00909816,-0.000964004,6.30805e-06,-0.000159119,-0.00686424,-0.000197763,0.999976,0.000285,   3e-06,0.652503,2e-06,4e-06,   -0,    1
1.7e+09,-0.00910289,-0.00093309,2.38777e-06,-0.000176585,-0.0069865,-0.000159076,0.999976,0.000549,   9e-06,0.652509,  6e-06,1.2e-05,     -0,      1
1.7e+09,-0.00882597,-0.000613016,7.93347e-06,-0.000434751,-0.00701517,-0.000246371,0.999975,0.000937, 2.1e-05,0.652523,1.4e-05,2.9e-05,     -0,      1
1.7e+09,0.063689,0.0160864,-0.00503537,-0.0164828,0.0610281,-0.00374979,0.997993,0.001467, 4.5e-05,0.652548,3e-05,6e-05,   -0,    1
1.7e+09,0.0685136,0.0177235,4.81357e-05,-0.0171939,0.0619077,-0.00452809,0.997923,0.00216,8.5e-05,0.65259, 5.6e-05,0.000113,      -0,       1
1.7e+09,0.0679925,0.0180077,4.75538e-05,-0.0171704,0.059118,-0.00489339,0.998091,0.003033,0.000147,0.652657, 9.8e-05,0.000196,      -0,       1
1.7e+09,0.0966192,0.0243198,-0.00067888,-0.0237546,0.0838446,-0.0110066,0.996135,0.004102,0.000241,0.652756,0.000161, 0.00032,      -0,       1
1.7e+09,0.0965147,0.0245696,6.13677e-05,-0.0235111,0.0821204,-0.0111555,0.996283,0.005381,0.000375,0.652896, 0.00025,0.000495,      -0,       1
1.7e+09,0.0967505,0.0248805,4.23316e-05,-0.0234244,0.080447,-0.0114552,0.996418,0.006885,0.000558,0.653086,0.000372,0.000733,      -0,       1
1.7e+09,0.0967221,0.0252829,1.92209e-05,-0.0233926,0.0781739,-0.0119546,0.996594,0.008625,0.000801,0.653334,0.000534,0.001043,  -1e-06,0.999999
