timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,-7.84542e-05,-5.23851e-05,5.69123e-10,-0.00111511,-0.00139938,-2.11654e-06,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.000756295,-7.92973e-06,1.19818e-08,-0.00115855,-0.000634946,-2.64263e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00318238,0.00101334,4.29244e-08,-0.00209298,0.00157868,1.49886e-05,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,0.00307136,-0.0011355,1.51152e-07,-0.000132599,0.00147404,4.52136e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00399103,-0.000896429,1.81455e-07,-0.000356068,0.00231106,3.33579e-05,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,0.00299871,0.000438004,5.46028e-07,-0.00157858,0.00140137,1.11964e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.00304276,-0.00154617,5.35033e-07,0.000229932,0.00143853,6.78756e-09,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00270105,-0.000465487,5.44248e-07,-0.00076024,0.00112355,6.83495e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00200377,8.21524e-05,1.75971e-07,-0.00126266,0.000484614,1.95181e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000227207,0.00020156,4.50542e-08,-0.00137365,-0.00113934,2.49008e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00106676,0.00318092,-1.04964e-07,-0.00409221,-0.00232105,3.50384e-05,0.999989,0,0,0.6525,0,0,0,1
1.7e+09,-0.00151955,0.0016754,-3.29163e-07,-0.0027165,-0.00273358,7.3564e-05,0.999993,0,0,0.6525,0,0,0,1
1.7e+09,-0.00262018,0.00121453,-3.34838e-07,-0.00229515,-0.00373474,9.91027e-05,0.99999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00240929,0.00129362,-1.31366e-07,-0.00236737,-0.00353827,9.31438e-05,0.999991,0,0,0.6525,0,0,0,1
1.7e+09,-0.00147369,0.000306546,4.50636e-07,-0.00146644,-0.00268123,0.000122911,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.00176068,-0.000410912,-1.29988e-07,-0.000812152,-0.00294031,0.000187169,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.00157323,2.06961e-05,-3.76808e-07,-0.00120894,-0.0027667,0.000147272,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.000825278,-4.54009e-06,-7.15157e-08,-0.00118703,-0.00208198,0.000165349,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-7.70268e-05,9.05989e-05,-2.40715e-07,-0.00127615,-0.00139813,0.000155282,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.000508329,-3.70421e-05,-5.47641e-07,-0.00116109,-0.000864971,0.000146349,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000289664,-0.000823578,-1.00129e-06,-0.00044333,-0.00106586,0.000176273,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000154289,-0.000967157,-1.11197e-06,-0.000314199,-0.00119115,0.000184485,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00026156,-0.000396967,-1.19841e-06,-0.000837717,-0.00109427,0.000162514,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000228586,-0.000587567,-1.49833e-06,-0.000664663,-0.0011253,0.000168823,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000587998,-0.000696323,-1.68035e-06,-0.000566666,-0.00079683,0.000174066,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000225044,-0.000380377,-1.36416e-06,-0.00085705,-0.00113088,0.000156361,0.999999,0,0,0.6525,0,0,0,1
