timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,-1.56417e-05,4.15358e-05,-1.94596e-10,-0.000533596,-0.0447543,3.30765e-06,0.998998,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-0.000528995,0.000269304,2.45788e-08,-0.000741229,-0.0452203,1.68051e-05,0.998977,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.00195603,-0.000592854,2.37398e-07,6.35156e-05,-0.0429492,-7.2468e-05,0.999077,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000387605,-0.000864815,1.98928e-07,0.00031358,-0.0443834,-8.19287e-05,0.999015,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.00177833,-0.00225513,3.26633e-07,0.00160241,-0.0431133,-0.000215981,0.999069,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-0.000473038,-0.0048113,4.82984e-07,0.00396481,-0.0451692,-0.00044713,0.998971,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-4.1278e-05,-0.00356708,7.76882e-07,0.00280018,-0.0447738,-0.000366779,0.998993,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.00133248,-0.00383862,9.14305e-07,0.00304384,-0.0435188,-0.000398112,0.999048,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-0.000675929,-0.00160512,1.63924e-06,0.000964782,-0.0453536,-0.000191629,0.998971,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-0.000528176,-0.00239029,7.27769e-07,0.00169272,-0.045218,-0.000257467,0.998976,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-0.000772581,-0.00131798,6.63655e-07,0.000696732,-0.0454405,-0.000156031,0.998967,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-0.00228969,-0.00215305,3.68788e-07,0.00147251,-0.0468232,-0.000240642,0.998902,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-0.00226266,-0.00156186,-2.25171e-07,0.000922783,-0.0467951,-0.000202923,0.998904,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-0.00108578,-0.00106119,-4.41429e-09,0.000459305,-0.0457177,-0.00015107,0.998954,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-0.000326878,-0.000653415,-1.27247e-07,8.50603e-05,-0.0450236,-0.00013684,0.998986,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-0.000832818,-0.000350196,-4.36794e-07,-0.000194194,-0.0454844,-0.000104222,0.998965,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.00030746,-0.00038194,3.17839e-08,-0.000158549,-0.0444432,-0.000129153,0.999012,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.00100066,-0.000253742,2.70458e-07,-0.000271111,-0.0438113,-0.000156688,0.99904,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000338298,-0.000474329,5.15625e-07,-7.06501e-05,-0.0444177,-0.000128379,0.999013,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,3.60852e-05,-0.000880007,5.54848e-07,0.000303271,-0.0446938,-0.000137222,0.999001,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000237514,-0.0013563,-1.46479e-07,0.000744095,-0.0445093,-0.000178472,0.999009,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000134153,-0.00137428,-1.02822e-06,0.000756414,-0.0446033,-0.000179253,0.999004,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-0.00033485,-0.00121261,-1.60902e-06,0.000599357,-0.04503,-0.000133016,0.998985,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-0.000427654,-0.000938687,-1.58779e-06,0.000342601,-0.0451124,-0.000107602,0.998982,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-0.000366343,-0.000833529,-1.27939e-06,0.000244463,-0.0450536,-0.000106461,0.998985,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-0.000384172,-0.000612357,-1.35144e-06,3.87982e-05,-0.0450671,-9.35664e-05,0.998984,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-0.000270845,-0.000456339,-1.40429e-06,-0.000105151,-0.0449608,-8.5559e-05,0.998989,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-0.00030186,-0.000737433,-1.18049e-06,0.000154196,-0.0449869,-8.30318e-05,0.998988,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,-3.4561e-05,-0.000568947,-8.50486e-07,-2.46199e-06,-0.0447394,-8.28227e-05,0.998999,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000174144,-0.000556817,-6.91355e-07,-1.37202e-05,-0.0445466,-9.52026e-05,0.999007,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000441921,-0.000440965,-7.13198e-07,-0.000120874,-0.0443003,-9.74434e-05,0.999018,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000607976,-0.000514523,-9.89906e-07,-5.2727e-05,-0.044149,-0.000104528,0.999025,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.00054755,-0.000556032,-1.7765e-06,-1.66819e-05,-0.0442054,-9.32765e-05,0.999022,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000456775,-0.000417346,-2.07431e-06,-0.000148621,-0.0442892,-7.55034e-05,0.999019,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000489024,-0.000341672,-1.78227e-06,-0.000219396,-0.04426,-7.70956e-05,0.99902,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000598076,-9.82622e-05,-1.4667e-06,-0.000445516,-0.0441593,-7.54717e-05,0.999024,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000312198,-8.11408e-05,-8.9427e-07,-0.000465112,-0.0444232,-1.48687e-05,0.999013,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000392008,-0.000103495,-5.0086e-07,-0.000438988,-0.0443478,-3.75197e-05,0.999016,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000373807,-9.41016e-05,-6.5655e-07,-0.000445539,-0.0443628,-3.88652e-05,0.999015,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000402327,-0.00029615,-6.72379e-07,-0.000253021,-0.0443347,-6.30471e-05,0.999017,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.00043992,-0.000266801,-8.28279e-07,-0.000280209,-0.0442985,-5.88344e-05,0.999018,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000426806,-6.30979e-05,-1.34293e-06,-0.000474893,-0.0443098,2.30204e-06,0.999018,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000346106,-0.000235678,-1.20002e-06,-0.000312718,-0.0443849,1.84219e-05,0.999014,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000360926,-0.000359047,-9.63031e-07,-0.000196836,-0.0443685,-3.36024e-07,0.999015,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000291691,-0.000226505,-1.08308e-06,-0.000325204,-0.0444307,3.56713e-05,0.999012,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000291793,-0.000204393,-8.41192e-07,-0.000345338,-0.0444281,3.3663e-05,0.999013,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.00051165,-0.000309021,-1.78107e-07,-0.000237338,-0.0442222,-5.0588e-05,0.999022,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000540459,-0.000350192,9.15458e-07,-0.000198727,-0.0441971,-6.90667e-05,0.999023,0,0,0.6525,0,-0.043619,0,0.999048
1.7e+09,0.000516897,-0.000323513,1.59098e-06,-0.000227765,-0.0442213,-5.32988e-05,0.999022,0,0,0.6525,0,-0.043619,0,0.999048
