timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,5.77158e-05,-0.000114386,-3.28171e-10,-0.000694604,-0.000849725,-2.12466e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000928108,2.76725e-05,-2.91046e-08,-0.00083114,-0.00175142,-2.17592e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00246098,0.00232952,-2.03487e-07,-0.00293657,-0.00315017,-3.07935e-05,0.999991,0,0,0.6525,0,0,0,1
1.7e+09,-0.00422538,0.00439864,-4.3703e-07,-0.00482628,-0.00475798,-5.00776e-05,0.999977,0,0,0.6525,0,0,0,1
1.7e+09,-0.00360229,0.00426524,-1.88052e-07,-0.00470376,-0.0041855,-4.07389e-05,0.99998,0,0,0.6525,0,0,0,1
1.7e+09,-0.0050274,0.00422188,-1.56578e-07,-0.00466365,-0.00548313,-3.31719e-05,0.999974,0,0,0.6525,0,0,0,1
1.7e+09,-0.00283225,0.0053612,-8.03494e-08,-0.00570313,-0.00347604,-7.11943e-05,0.999978,0,0,0.6525,0,0,0,1
1.7e+09,-0.00263923,0.00534471,-2.27404e-07,-0.00568636,-0.00329703,-6.9189e-05,0.999978,0,0,0.6525,0,0,0,1
1.7e+09,-0.00221162,0.00461243,1.99396e-07,-0.00501524,-0.00290384,-4.26172e-05,0.999983,0,0,0.6525,0,0,0,1
1.7e+09,-0.00298442,0.00577441,1.89459e-07,-0.00607322,-0.0036066,-4.86591e-05,0.999975,0,0,0.6525,0,0,0,1
1.7e+09,-0.00313405,0.00638101,-2.2154e-07,-0.00662261,-0.00374007,-4.22452e-05,0.999971,0,0,0.6525,0,0,0,1
1.7e+09,-0.00282098,0.0053725,1.16603e-07,-0.00569861,-0.0034516,-5.43229e-05,0.999978,0,0,0.6525,0,0,0,1
1.7e+09,-0.00257672,0.00486808,6.03596e-08,-0.00523426,-0.00322616,-4.83089e-05,0.999981,0,0,0.6525,0,0,0,1
1.7e+09,-0.00234801,0.00508337,3.39375e-08,-0.00542615,-0.00301416,-4.70125e-05,0.999981,0,0,0.6525,0,0,0,1
1.7e+09,-0.00320779,0.00439724,2.16151e-07,-0.00479584,-0.00379416,-2.29305e-05,0.999981,0,0,0.6525,0,0,0,1
1.7e+09,-0.00208008,0.00318613,4.80943e-07,-0.00368836,-0.00276136,-2.93099e-05,0.999989,0,0,0.6525,0,0,0,1
1.7e+09,-0.00211288,0.00186021,5.48419e-07,-0.00247849,-0.00278793,-2.23421e-05,0.999993,0,0,0.6525,0,0,0,1
1.7e+09,-0.00126399,0.00190594,5.32438e-07,-0.00252013,-0.00201098,-1.5006e-05,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.00103547,0.00145213,7.03071e-07,-0.0021063,-0.00180027,-6.63208e-06,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,-0.000179024,0.0015828,1.39413e-06,-0.00222568,-0.00101771,9.58447e-06,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-3.88721e-05,0.00119165,1.42171e-06,-0.00186826,-0.00089084,1.56439e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-8.14988e-05,0.000539997,1.01067e-06,-0.00127482,-0.000931384,-4.49817e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-9.3593e-05,-0.000190767,-4.00638e-09,-0.000611852,-0.00094338,-4.90957e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000464718,-0.000115556,-8.34695e-07,-0.0006842,-0.0012826,-7.35975e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000489182,-0.000442769,-1.62713e-06,-0.000389891,-0.00130417,-0.000119039,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000876922,-0.000714441,-2.15588e-06,-0.000148114,-0.00165822,-0.000204105,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000743287,-0.000651303,-2.44604e-06,-0.000209492,-0.00153333,-0.000163067,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000374305,-0.00063801,-2.79219e-06,-0.000223953,-0.00119352,-9.0277e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000250829,-0.000829955,-3.17746e-06,-5.17618e-05,-0.00108144,-9.96042e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000112815,-0.00076051,-2.81595e-06,-0.000117465,-0.000750022,-1.18978e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,6.5715e-05,-0.000595615,-2.26524e-06,-0.000271979,-0.000796043,-8.79932e-06,1,0,0,0.6525,0,0,0,1
1.7e+09,-7.24625e-05,-0.000424172,-1.7249e-06,-0.000432439,-0.000925588,-1.95261e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00032522,-0.000377844,-8.85935e-07,-0.000479367,-0.00115894,-0.000110335,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000412209,-0.000680021,-6.66301e-07,-0.000206468,-0.00123841,-0.000192382,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000402916,-0.000540676,-9.52834e-07,-0.000337499,-0.00123003,-0.000150401,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000382116,-0.000455976,-1.29384e-06,-0.000417331,-0.00121085,-0.000137911,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000385504,-0.00066795,-1.74827e-06,-0.000223775,-0.00121437,-0.00017335,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000476066,-0.000571981,-1.76529e-06,-0.000316969,-0.00129809,-0.000195557,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000493114,-0.000238251,-1.1274e-06,-0.000627999,-0.0013133,-0.000181379,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000567843,-0.00025334,-7.18875e-07,-0.00061581,-0.00138076,-0.000217336,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000745527,-0.000206314,-1.87479e-07,-0.000662802,-0.0015434,-0.000288859,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000632402,2.94274e-05,8.9951e-08,-0.000880309,-0.00143583,-0.000208567,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000570495,0.000146201,1.74071e-07,-0.000987066,-0.00137716,-0.000174003,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000770925,0.000262491,5.18713e-07,-0.0010951,-0.00156166,-0.000247215,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000662949,0.000350315,1.01975e-06,-0.00117339,-0.00145929,-0.000199757,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000505947,0.000426406,1.07391e-06,-0.00123965,-0.00131191,-0.000130894,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000545541,0.00073165,9.47178e-07,-0.00152127,-0.00134905,-0.000181406,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000556711,0.000791062,9.64339e-07,-0.00157045,-0.00135885,-0.000182572,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000474628,0.000757895,1.00785e-06,-0.00153316,-0.001282,-0.000148005,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00036431,0.000734084,9.99248e-07,-0.00150273,-0.00118807,-0.00010561,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000366899,0.000732059,9.7263e-07,-0.00149855,-0.00119294,-0.0001194,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000397781,0.000718148,8.44211e-07,-0.00147618,-0.00122062,-0.000103792,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000406944,0.00072354,8.4505e-07,-0.00148087,-0.00122899,-9.89818e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000424236,0.000712875,1.03727e-06,-0.00147549,-0.00124263,-9.2674e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000425964,0.000679297,1.1545e-06,-0.00144411,-0.00123853,-9.67725e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000426674,0.00064473,8.98537e-07,-0.0014082,-0.00123293,-9.8183e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000423842,0.000630157,8.19435e-07,-0.00139408,-0.00122031,-9.15115e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000416685,0.000632696,1.18682e-06,-0.00139661,-0.00121535,-9.15531e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000415126,0.000630642,1.39216e-06,-0.00140158,-0.00121141,-9.05593e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000427612,0.000603094,1.35592e-06,-0.00135846,-0.00123173,-5.87026e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000414601,0.00059123,1.07345e-06,-0.00135573,-0.00121929,-5.07475e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000390689,0.000563629,7.48383e-07,-0.00132397,-0.00119781,-3.52038e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000369655,0.000563578,5.78904e-07,-0.00133101,-0.001185,-4.16401e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000351644,0.000560082,3.8793e-07,-0.00132889,-0.00117187,-3.87635e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000337042,0.000575829,-2.82184e-08,-0.00134622,-0.00116093,-5.49573e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000310143,0.000586045,-5.1705e-07,-0.00135731,-0.0011372,-7.3258e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000311663,0.000578756,-5.9396e-07,-0.00135091,-0.0011419,-5.11365e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000307521,0.000576077,-6.09126e-07,-0.00134418,-0.00113925,-4.84669e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000303988,0.00056678,-6.37365e-07,-0.00133441,-0.00114051,-3.53582e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000295894,0.000536564,-7.92238e-07,-0.00130843,-0.00112886,-2.3682e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.0002798,0.000509454,-8.50508e-07,-0.00129351,-0.00110341,-3.08294e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00027572,0.000460502,-8.68696e-07,-0.00124002,-0.0010983,5.10882e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000269497,0.000423805,-7.16229e-07,-0.00120794,-0.00109875,3.43536e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000291497,0.000360145,-2.53837e-07,-0.00114016,-0.00112784,0.000107868,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000295567,0.000302771,4.2021e-07,-0.00109174,-0.00113661,0.000163852,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000318017,0.000248136,5.31914e-07,-0.00103867,-0.00115254,0.000194062,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000326726,0.000234371,2.13552e-07,-0.00103188,-0.00115794,0.000202484,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000331364,0.000201876,-4.90688e-08,-0.000998273,-0.00116584,0.000232205,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000358952,0.000170917,-1.251e-07,-0.000977087,-0.00119094,0.000281491,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000358805,0.000117018,-4.23503e-07,-0.000923623,-0.00118534,0.000300542,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000395944,6.41312e-05,-8.02439e-07,-0.000881557,-0.00122168,0.000371042,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000399907,1.03534e-05,-9.51982e-07,-0.000848461,-0.00122634,0.000416993,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00042114,-1.02286e-05,-9.41011e-07,-0.000845815,-0.00124527,0.000463934,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000436157,-4.4415e-05,-9.71787e-07,-0.000820217,-0.00125739,0.00048358,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000450545,-5.88904e-05,-9.52993e-07,-0.00081427,-0.00126461,0.000499787,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00047482,-8.73729e-05,-7.50188e-07,-0.00079021,-0.00128958,0.000533514,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000472102,-7.78864e-05,-2.93193e-07,-0.000812172,-0.00128469,0.000536024,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000486347,-7.03745e-05,3.65297e-07,-0.000823142,-0.0013033,0.000535777,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000493342,-9.70014e-05,9.05436e-07,-0.000792117,-0.00130952,0.000542276,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000531076,-0.000130115,9.82774e-07,-0.000767271,-0.00134427,0.00059161,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000574464,-0.000166431,9.66254e-07,-0.000740021,-0.00138185,0.000645816,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000592665,-0.000211183,1.23519e-06,-0.000704888,-0.00139324,0.000664673,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000591686,-0.000241663,1.20212e-06,-0.000678717,-0.0013943,0.000687598,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000589399,-0.000282288,7.06482e-07,-0.000643919,-0.00139445,0.000717627,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00057299,-0.000328298,6.29972e-07,-0.000616936,-0.00137265,0.000695526,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000547046,-0.000376138,2.36764e-07,-0.000579516,-0.00135514,0.00070622,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000526787,-0.000401678,1.53049e-07,-0.000555466,-0.00134371,0.000704152,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000494961,-0.000408411,1.23662e-07,-0.000571432,-0.00132563,0.000650523,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000454725,-0.000434939,8.22493e-08,-0.000543139,-0.00129993,0.000666456,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000423038,-0.000460414,-2.60854e-07,-0.000528543,-0.00128362,0.000652105,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000387185,-0.000487371,-6.40474e-07,-0.000503098,-0.00125241,0.000655278,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00035497,-0.000486416,-9.04682e-07,-0.000513462,-0.00122759,0.000600073,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000309669,-0.000522818,-9.91066e-07,-0.00048294,-0.00119352,0.000593863,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000276359,-0.000563065,-8.59802e-07,-0.000444445,-0.0011808,0.000640296,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000241596,-0.000601414,-6.28831e-07,-0.000416036,-0.00116227,0.000652036,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00021758,-0.000615111,-2.80238e-07,-0.000419107,-0.00116055,0.000615349,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000144954,-0.000617494,-8.23617e-08,-0.000422557,-0.00110271,0.000560807,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000111601,-0.000621977,3.67754e-07,-0.000419357,-0.00108223,0.000540862,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-8.6719e-05,-0.000652978,7.08002e-07,-0.000404902,-0.00106926,0.000529593,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-5.86769e-05,-0.000675511,8.10917e-07,-0.000387921,-0.00104997,0.000523885,0.999999,0,0,0.6525,0,0,0,1
