timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,2.98186e-06,-2.45372e-05,-7.94284e-11,-0.000243314,-0.000839888,-3.57063e-06,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00114148,-0.000322161,3.35296e-08,2.744e-05,0.000195286,1.78872e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00119548,0.000526793,2.80877e-07,-0.000749716,0.000238366,1.40997e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,-0.000343127,-0.00080131,5.37014e-07,0.000462163,-0.00117128,2.19348e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00188316,0.000286793,5.22037e-07,-0.00053347,-0.00258007,9.90378e-06,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00394416,0.00126384,2.47756e-07,-0.00142675,-0.00446257,1.4367e-05,0.999989,0,0,0.6525,0,0,0,1
1.7e+09,-0.00589605,0.00211668,-6.13942e-07,-0.00220521,-0.00624262,-4.00721e-06,0.999978,0,0,0.6525,0,0,0,1
1.7e+09,-0.0038503,0.00136809,-3.61783e-08,-0.00152114,-0.00437231,8.90513e-06,0.999989,0,0,0.6525,0,0,0,1
1.7e+09,-0.00271675,-0.00103308,3.31226e-07,0.00067048,-0.00333591,8.97388e-05,0.999994,0,0,0.6525,0,0,0,1
1.7e+09,-0.000770457,-0.000646542,4.01065e-07,0.000316207,-0.00155843,8.54446e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000914489,0.00116957,1.63551e-07,-0.00134353,-2.16739e-05,2.81629e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000388993,-0.00102384,-2.94624e-07,0.000656504,-0.000501905,6.48601e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,-0.000847928,-0.00119072,-2.53789e-08,0.000805663,-0.00163025,6.67747e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000712965,-0.0008806,1.24026e-07,0.000519802,-0.00150616,7.55555e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00115836,0.000369572,-1.78916e-07,-0.000621511,-0.00191184,0.000100542,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00105044,0.000386685,-9.44395e-07,-0.000637772,-0.00181184,0.000115728,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00146481,-0.000594154,-1.57644e-06,0.000252722,-0.00218885,5.66927e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00151879,-0.000118462,-1.51242e-06,-0.000183372,-0.00223681,8.29543e-05,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00127373,0.000401325,-1.07347e-06,-0.000658996,-0.00201196,9.66812e-05,0.999998,0,0,0.6525,0,0,0,1
