timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,2.98186e-06,-2.45372e-05,-7.94207e-11,-0.000243314,-0.000839888,-3.57063e-06,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00114177,-0.000321422,3.37413e-08,2.67645e-05,0.000195549,1.78794e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00119572,0.000527502,2.81355e-07,-0.000750364,0.000238583,1.40945e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,-0.000342908,-0.000800642,5.37677e-07,0.000461553,-0.00117108,2.19316e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00188296,0.000287513,5.22672e-07,-0.000534128,-0.00257988,9.90196e-06,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00394392,0.00126443,2.48309e-07,-0.00142729,-0.00446235,1.43672e-05,0.999989,0,0,0.6525,0,0,0,1
1.7e+09,-0.00589569,0.00211716,-6.13459e-07,-0.00220565,-0.00624229,-4.00435e-06,0.999978,0,0,0.6525,0,0,0,1
1.7e+09,-0.00385016,0.0013685,-3.56965e-08,-0.00152152,-0.00437217,8.90694e-06,0.999989,0,0,0.6525,0,0,0,1
1.7e+09,-0.00271681,-0.0010327,3.31557e-07,0.000670135,-0.00333597,8.97401e-05,0.999994,0,0,0.6525,0,0,0,1
1.7e+09,-0.000770514,-0.000646284,4.01414e-07,0.000315972,-0.00155849,8.54473e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000914481,0.00116977,1.64036e-07,-0.00134371,-2.1681e-05,2.81673e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000388966,-0.00102368,-2.94335e-07,0.00065636,-0.000501929,6.48677e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,-0.000847995,-0.00119059,-2.53139e-08,0.000805545,-0.00163031,6.67791e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000713007,-0.000880493,1.24229e-07,0.000519705,-0.00150619,7.55588e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00115839,0.000369602,-1.78822e-07,-0.000621538,-0.00191186,0.000100536,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.0010504,0.000386649,-9.44547e-07,-0.000637739,-0.00181181,0.000115719,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00146477,-0.000594163,-1.57715e-06,0.00025273,-0.00218881,5.66866e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00151876,-0.00011847,-1.51346e-06,-0.000183364,-0.00223677,8.29463e-05,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00127371,0.000401319,-1.07441e-06,-0.000658991,-0.00201193,9.66746e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00113649,0.000420799,-1.03823e-06,-0.000677735,-0.00188547,9.46377e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000344567,0.000727182,-8.03577e-07,-0.000957385,-0.00116204,0.000103074,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000222085,0.00108899,-4.31531e-07,-0.0012861,-0.000646934,0.000123051,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000629638,0.00091268,-2.15914e-07,-0.00112413,-0.000277861,0.000115751,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000171422,0.00109774,-8.9502e-08,-0.00129136,-0.000699423,0.000134639,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000199213,0.00103981,-8.10211e-08,-0.00123751,-0.00104026,0.000131786,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000698238,0.00108908,5.60098e-07,-0.00128199,-0.00149728,0.000136601,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000744264,0.00157756,8.79178e-07,-0.00172554,-0.00153867,0.00023764,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.000745744,0.00145831,6.63067e-07,-0.00161337,-0.00154009,0.000215491,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.000598576,0.00102519,4.02759e-07,-0.00121651,-0.0014054,0.000132887,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000658372,0.00102095,-9.07919e-08,-0.0012114,-0.00146096,0.000138039,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000848342,0.00107996,-3.2502e-07,-0.00126306,-0.00163518,0.000164998,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000745711,0.00130935,7.10888e-09,-0.00147247,-0.00154116,0.000180629,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000958497,0.00127033,2.3034e-07,-0.00143334,-0.00173542,0.000195229,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00088974,0.00112575,2.70734e-07,-0.00129815,-0.00167092,0.00017415,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000862344,0.00108457,5.47564e-07,-0.00125873,-0.00164483,0.000166285,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000692744,0.00103302,4.53911e-07,-0.00121011,-0.00148809,0.000145769,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000784461,0.000869483,2.61586e-07,-0.00105687,-0.00157221,0.000169581,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000618748,0.000730942,2.48639e-07,-0.000928801,-0.00141835,0.00014991,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00049853,0.000644369,-4.03273e-08,-0.00084817,-0.00130728,0.000154743,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000599581,0.000475701,-3.14814e-07,-0.000692109,-0.00139992,0.00018935,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000433001,0.000240387,-5.17266e-07,-0.000476295,-0.00124535,0.000179125,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00044587,0.000333216,-2.92072e-07,-0.000565302,-0.0012575,0.000161837,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000426193,0.000164656,2.83793e-07,-0.000410496,-0.00123917,0.00019595,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00037399,0.0003162,5.94404e-07,-0.000553801,-0.00119118,0.00017484,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000327633,0.000201107,5.66857e-07,-0.000447924,-0.00114885,0.000167243,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000469543,9.77858e-05,7.11167e-08,-0.000352608,-0.00128148,0.000189171,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000464577,4.90249e-05,-2.31952e-07,-0.000310065,-0.00127547,0.000190327,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000439394,8.26443e-05,-6.15998e-07,-0.000343116,-0.00125135,0.000208747,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000415231,0.000149768,-6.52143e-07,-0.000407205,-0.00122938,0.00021272,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000428499,0.000198335,-7.7446e-07,-0.000456483,-0.00124895,0.000218085,0.999999,0,0,0.6525,0,0,0,1
