timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,-7.84541e-05,-5.23851e-05,5.69049e-10,-0.00111511,-0.00139938,-2.11654e-06,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.000756445,-7.56322e-06,1.17974e-08,-0.00115889,-0.000634809,-2.64556e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00318277,0.00101403,4.294e-08,-0.00209361,0.00157903,1.49857e-05,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,0.00307175,-0.00113476,1.51259e-07,-0.000133279,0.0014744,4.52131e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00399092,-0.000895906,1.81876e-07,-0.000356545,0.00231096,3.33633e-05,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,0.00299851,0.000438407,5.46627e-07,-0.00157895,0.00140119,1.1206e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.00304249,-0.00154583,5.35849e-07,0.000229625,0.00143829,1.9132e-08,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00270095,-0.000465223,5.45178e-07,-0.000760481,0.00112346,6.84589e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00200388,8.23835e-05,1.76811e-07,-0.00126287,0.000484717,1.95273e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000227276,0.000201745,4.55522e-08,-0.00137382,-0.00113927,2.49086e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00106669,0.00318107,-1.04544e-07,-0.00409236,-0.00232099,3.50419e-05,0.999989,0,0,0.6525,0,0,0,1
1.7e+09,-0.00151932,0.00167544,-3.2888e-07,-0.00271654,-0.00273338,7.35744e-05,0.999993,0,0,0.6525,0,0,0,1
1.7e+09,-0.00261988,0.00121454,-3.34542e-07,-0.00229516,-0.00373447,9.91144e-05,0.99999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00240898,0.00129358,-1.30862e-07,-0.00236733,-0.003538,9.31582e-05,0.999991,0,0,0.6525,0,0,0,1
1.7e+09,-0.00147344,0.000306524,4.51322e-07,-0.00146642,-0.002681,0.000122929,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.0017605,-0.000410926,-1.29452e-07,-0.000812138,-0.00294014,0.000187183,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.00157306,2.06879e-05,-3.76453e-07,-0.00120894,-0.00276655,0.000147289,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.000825144,-4.5532e-06,-7.11093e-08,-0.00118702,-0.00208186,0.000165372,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-7.69068e-05,9.05925e-05,-2.40256e-07,-0.00127615,-0.00139802,0.000155312,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.000508439,-3.70253e-05,-5.47156e-07,-0.00116111,-0.000864872,0.000146385,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000289768,-0.000823556,-1.00112e-06,-0.000443349,-0.00106576,0.000176306,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000154378,-0.000967142,-1.11207e-06,-0.000314212,-0.00119107,0.000184517,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000261636,-0.000396959,-1.19865e-06,-0.000837724,-0.0010942,0.000162547,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000228642,-0.000587559,-1.49881e-06,-0.000664669,-0.00112525,0.000168855,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000588044,-0.000696318,-1.68094e-06,-0.000566669,-0.000796789,0.0001741,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000225089,-0.000380376,-1.36487e-06,-0.000857051,-0.00113084,0.000156392,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.0003658,-0.000282791,-1.25013e-06,-0.000946195,-0.00100298,0.000174626,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,9.40362e-05,-0.000381327,-8.50839e-07,-0.000857561,-0.00125342,0.000127592,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-9.45185e-05,-0.00030689,-4.13579e-07,-0.000927315,-0.00142613,0.000114568,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000285057,-0.000417247,-1.09744e-07,-0.000827043,-0.00159975,8.91211e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000258576,-0.000468589,6.20185e-08,-0.000782184,-0.00157391,8.84224e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,5.86827e-05,-0.000634176,1.02366e-07,-0.000631884,-0.00128212,8.27562e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000123168,-0.000714734,-1.46735e-07,-0.00055919,-0.00144935,8.25855e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00020472,-0.000649391,-4.28927e-07,-0.000620173,-0.0015233,9.59262e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,4.42766e-05,-0.000435533,-7.80296e-07,-0.000817501,-0.00129295,8.7844e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-8.6465e-05,-0.000217517,-1.12519e-06,-0.00101759,-0.00141246,5.91012e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.0001789,-8.94956e-05,-9.73208e-07,-0.00113374,-0.00149494,3.34132e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000192652,-0.000202798,-2.19624e-07,-0.0010266,-0.00150529,3.30481e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000288576,-0.000323282,-1.56394e-08,-0.000914848,-0.00159188,1.89685e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000172054,-0.000565514,-1.16678e-08,-0.000691178,-0.00148153,2.69255e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000170193,-0.000496964,8.46e-08,-0.000756269,-0.00147802,2.9932e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000241848,-0.000510717,1.09022e-07,-0.00074535,-0.00154225,1.46376e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-3.28116e-05,-0.000543626,3.87252e-08,-0.00071569,-0.00134609,5.99309e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,1.10127e-05,-0.000554948,3.78997e-08,-0.000707019,-0.00130526,6.8778e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,5.82962e-05,-0.000708356,6.55678e-08,-0.000566271,-0.00126148,5.4697e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000143151,-0.000663131,-2.14843e-07,-0.000609605,-0.00118395,5.56371e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000227324,-0.00077121,-1.90905e-07,-0.000510801,-0.00110816,3.50996e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000161296,-0.00076993,-2.3726e-07,-0.000513632,-0.00117173,4.65309e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000173133,-0.000844373,-6.59302e-07,-0.000445789,-0.00116195,5.0908e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00022088,-0.000917049,-7.21629e-07,-0.000373306,-0.00112191,3.67862e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000235628,-0.000830827,-3.93207e-07,-0.000464543,-0.00111206,3.93429e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000284741,-0.000821973,-2.0579e-07,-0.000477749,-0.00106026,4.71248e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000262315,-0.000812912,-3.39056e-08,-0.000479209,-0.00109142,3.32493e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000274888,-0.000816999,2.62644e-08,-0.000475935,-0.00108643,4.03586e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000279906,-0.000851163,1.38419e-07,-0.000439358,-0.0010906,5.1361e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000253962,-0.000830805,3.54533e-07,-0.000454145,-0.00111672,5.86079e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000251805,-0.00081318,5.8777e-07,-0.000474587,-0.00111984,5.42915e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000243032,-0.000815085,6.28963e-07,-0.000474945,-0.00111812,4.60028e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000220763,-0.00080153,3.0258e-07,-0.000483478,-0.00114561,4.79668e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000224105,-0.000777834,8.0678e-08,-0.000497825,-0.00113792,6.92328e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000217195,-0.000759473,2.67696e-08,-0.000514623,-0.00113537,9.81811e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000201125,-0.000707155,4.79483e-07,-0.000568258,-0.00114853,0.000134724,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00020377,-0.000684801,6.92436e-07,-0.000577755,-0.00113693,0.000173394,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000182255,-0.000632765,4.73372e-07,-0.000641601,-0.0011646,0.000187954,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000202146,-0.000596326,2.43995e-07,-0.00067788,-0.00113342,0.000238036,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000223863,-0.000595228,3.10576e-07,-0.000668074,-0.00110764,0.000252442,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000231739,-0.000595204,5.81118e-07,-0.000668945,-0.00110554,0.000257854,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000229059,-0.000559479,1.05326e-06,-0.000703136,-0.00111228,0.000259112,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000199359,-0.000543389,1.38925e-06,-0.000709335,-0.00115149,0.000223186,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000200032,-0.000498468,1.29838e-06,-0.000749156,-0.0011476,0.000260503,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000212375,-0.000471065,9.28112e-07,-0.000780538,-0.00113789,0.000264844,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00021329,-0.000464268,8.92595e-07,-0.000782574,-0.00112234,0.000269155,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000177096,-0.000445306,9.46643e-07,-0.000800636,-0.0011628,0.000259786,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000175067,-0.000430832,1.33484e-06,-0.000808799,-0.00115907,0.000266186,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000146185,-0.000400917,1.32079e-06,-0.000834328,-0.00118196,0.000279936,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000121976,-0.000412031,1.3524e-06,-0.000816329,-0.00120271,0.00025897,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,9.5587e-05,-0.000425885,1.16801e-06,-0.000802924,-0.00123042,0.000252821,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000101962,-0.000443005,6.32676e-07,-0.000788156,-0.00122725,0.000250919,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,8.74845e-05,-0.000464432,-9.02629e-08,-0.00077496,-0.00123598,0.000249053,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,8.47391e-05,-0.000481789,-4.87994e-07,-0.000760508,-0.00122941,0.000226577,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,8.24157e-05,-0.000541565,-6.01454e-07,-0.00070587,-0.00122387,0.000174698,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,7.9999e-05,-0.000594005,-2.85684e-07,-0.000660018,-0.00121778,0.000108062,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,6.40233e-05,-0.000652816,2.0189e-07,-0.000614986,-0.0012302,9.82585e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,4.44149e-05,-0.000687398,4.45282e-07,-0.00059871,-0.00124389,7.76193e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,8.06927e-06,-0.000725366,7.08491e-07,-0.000568721,-0.00129225,0.000118894,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,1.2637e-05,-0.000769385,8.3233e-07,-0.000534493,-0.00127686,7.31364e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,5.0236e-06,-0.000816193,7.06523e-07,-0.000490191,-0.00128286,6.32057e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-1.48131e-05,-0.000852152,2.70501e-07,-0.000474405,-0.00130246,8.13715e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-2.86151e-05,-0.000914045,2.21114e-07,-0.000427251,-0.00131718,8.55011e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-2.82496e-05,-0.000983172,3.69379e-07,-0.000376065,-0.00131665,4.79284e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-4.03147e-05,-0.00104468,3.12648e-07,-0.000337964,-0.00132894,5.37999e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-6.2127e-05,-0.00112503,3.91994e-07,-0.000273234,-0.00134204,2.07483e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-6.79563e-05,-0.00121328,1.96424e-07,-0.000193438,-0.00134154,-4.05248e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-8.88021e-05,-0.00127683,4.65289e-07,-0.000154492,-0.00135916,-4.33167e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000122983,-0.00133106,6.24748e-07,-0.000118996,-0.00139837,2.37001e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000169359,-0.00137645,8.02399e-07,-8.89833e-05,-0.00145131,6.19395e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000200031,-0.00140846,6.06595e-07,-7.03265e-05,-0.00147795,8.51243e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000198196,-0.00145308,1.58337e-07,-4.16462e-05,-0.00146337,4.37001e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000189097,-0.00148116,1.64965e-07,-2.47e-05,-0.0014397,2.49657e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000158029,-0.00146992,9.92425e-08,-4.90282e-05,-0.00141095,-4.5386e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000128898,-0.001486,3.04635e-07,-4.05726e-05,-0.00138858,-5.33342e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000111271,-0.00148683,4.52906e-07,-3.53707e-05,-0.00138037,7.66126e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-9.68662e-05,-0.00148661,3.15608e-07,-4.20439e-05,-0.00136555,2.00382e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-6.72215e-05,-0.00149742,-2.88699e-07,-3.64227e-05,-0.00133323,8.354e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-3.41147e-05,-0.00146913,-4.70856e-07,-5.29862e-05,-0.00132003,1.23241e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,3.5046e-06,-0.00144866,-7.43394e-07,-7.46798e-05,-0.00129707,8.75979e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,5.73889e-05,-0.00144184,-7.85298e-07,-7.47354e-05,-0.00125854,2.74221e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,9.64862e-05,-0.00141523,-9.18461e-07,-9.7414e-05,-0.0012277,2.11845e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000138891,-0.00138136,-7.10448e-07,-0.000119438,-0.00119649,4.52971e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000167452,-0.00133167,-1.56686e-07,-0.000161509,-0.00118617,1.63756e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000200582,-0.00128963,1.19205e-07,-0.000189922,-0.00116698,1.62851e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000259361,-0.00124481,-6.64782e-08,-0.000235504,-0.00112428,-2.99062e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000293063,-0.00120593,-6.25907e-07,-0.000255961,-0.00111637,-4.861e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000319989,-0.00118633,-1.10699e-06,-0.000259932,-0.00110279,-2.17883e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000348768,-0.00118862,-1.17126e-06,-0.000247865,-0.00107411,-5.36706e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000346311,-0.00117771,-1.02976e-06,-0.000254902,-0.00107472,1.32822e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000352483,-0.00114915,-5.98775e-07,-0.000275045,-0.00107358,2.25835e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000372885,-0.00114802,-3.88698e-07,-0.000266746,-0.00106003,3.32014e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000395391,-0.00114936,-3.58442e-07,-0.00026023,-0.0010414,5.82316e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000405721,-0.00110768,-5.07042e-07,-0.000291419,-0.00103479,6.96597e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000416132,-0.00105807,-5.87717e-07,-0.000331793,-0.001035,5.7834e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000447009,-0.00105606,-2.52444e-07,-0.000311626,-0.00101193,9.97167e-05,0.999999,0,0,0.6525,0,0,0,1
