timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,-3.48201e-05,-6.9342e-05,3.20887e-10,-0.00073227,-0.000928262,-2.81048e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000318282,0.000270891,-3.57298e-08,-0.00104607,-0.000605484,-2.0169e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000969127,-6.28064e-05,-1.47512e-07,-0.000743982,-0.00178098,-6.59467e-06,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.000926815,0.000745148,1.20995e-07,-0.00148408,-4.90716e-05,7.1184e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00127125,-0.00117845,6.67234e-07,0.000268879,-0.00205611,1.50282e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00010391,-0.000251419,1.0901e-06,-0.000581548,-0.000989402,8.77217e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000161859,-0.00184277,8.47972e-07,0.000867052,-0.00104197,2.16465e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000666618,-0.000413987,8.51863e-07,-0.00044167,-0.00150181,3.02996e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000514544,-0.000943299,9.01477e-07,3.76694e-05,-0.00136179,3.38509e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000498721,-0.00114996,1.34786e-06,0.000221634,-0.000437092,2.29846e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000127754,-0.000901359,1.13639e-06,-1.02772e-05,-0.000776294,9.63055e-06,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00176466,-0.000846858,9.03598e-07,-6.41205e-05,0.0007155,3.20836e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00256588,-0.000991603,3.52277e-07,6.33614e-05,0.0014425,3.97854e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00223394,0.00108649,4.74292e-07,-0.00183645,0.00113594,2.27813e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.00147478,0.00225691,3.93578e-07,-0.00290552,0.0004402,2.14663e-05,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,0.000511267,0.00238247,3.43549e-07,-0.00302077,-0.000440929,2.68122e-06,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.000784476,0.00233192,4.77603e-07,-0.00297477,-0.00162299,1.86148e-05,0.999994,0,0,0.6525,0,0,0,1
1.7e+09,-0.000485346,0.00287895,2.80175e-07,-0.00347331,-0.00134929,5.94936e-07,0.999993,0,0,0.6525,0,0,0,1
1.7e+09,-0.000722166,0.00229752,8.31489e-07,-0.0029415,-0.00156392,8.79426e-06,0.999994,0,0,0.6525,0,0,0,1
1.7e+09,-0.00108175,0.00208435,1.76023e-06,-0.00274574,-0.00189005,4.44316e-05,0.999994,0,0,0.6525,0,0,0,1
1.7e+09,-0.00125595,0.00223934,1.93319e-06,-0.00288594,-0.00204664,6.20407e-05,0.999994,0,0,0.6525,0,0,0,1
1.7e+09,-0.00159525,0.00244475,1.64645e-06,-0.00307159,-0.00235366,8.73599e-05,0.999993,0,0,0.6525,0,0,0,1
1.7e+09,-0.00141381,0.00214949,1.09361e-06,-0.00280096,-0.00218452,7.92629e-05,0.999994,0,0,0.6525,0,0,0,1
1.7e+09,-0.00115925,0.0019208,2.62827e-07,-0.00259027,-0.00194922,6.2733e-05,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.00158054,0.00225281,-5.57021e-07,-0.00289128,-0.00233154,0.000112719,0.999993,0,0,0.6525,0,0,0,1
1.7e+09,-0.00124439,0.00198878,-9.29914e-07,-0.00264816,-0.00202177,8.60979e-05,0.999994,0,0,0.6525,0,0,0,1
1.7e+09,-0.00128143,0.0017897,-1.19882e-06,-0.00246299,-0.0020533,0.000131409,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.00137583,0.0015022,-1.44492e-06,-0.00219835,-0.00213685,0.000146605,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,-0.00137009,0.00095976,-1.63069e-06,-0.00170011,-0.00212953,0.000184458,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,-0.0013982,0.000708598,-1.23801e-06,-0.00147103,-0.00215345,0.00021644,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00152081,0.000764697,-8.61148e-07,-0.00152443,-0.00226336,0.00022814,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,-0.00136772,0.000739658,-4.72554e-07,-0.00150356,-0.00212035,0.000228054,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00155659,0.000602613,1.97427e-07,-0.00137976,-0.00229137,0.000232381,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,-0.00163518,0.000611733,4.78575e-07,-0.00139124,-0.00236001,0.000235506,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,-0.00138909,0.000386639,1.23968e-07,-0.00118666,-0.00213101,0.000242177,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00129513,0.000298512,-2.82975e-07,-0.00110842,-0.0020432,0.000247432,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00103656,0.000411271,-6.71934e-07,-0.00121377,-0.00180463,0.000272788,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000879229,0.000297266,-8.04578e-07,-0.00111041,-0.00166076,0.000316491,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000876043,0.000414882,-3.38785e-07,-0.00122333,-0.00166018,0.000280771,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000889565,0.000377289,2.05276e-08,-0.00119104,-0.00167343,0.000279463,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000929078,0.000267399,4.59911e-07,-0.00109277,-0.00171094,0.000275001,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00110154,0.000288763,6.83007e-07,-0.00111811,-0.0018708,0.000211278,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00113143,0.000547117,7.6928e-07,-0.00136147,-0.00189687,0.000183347,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00116878,0.000514707,1.04153e-06,-0.00133232,-0.00192898,0.000173005,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00113521,0.00062581,1.54409e-06,-0.00143612,-0.00189583,0.000195585,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00109997,0.000474855,1.61262e-06,-0.00129539,-0.00186028,0.00023681,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.0011325,0.00056889,1.44751e-06,-0.00138529,-0.00188852,0.000212276,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.00102848,0.000624742,1.4559e-06,-0.0014369,-0.00178896,0.000266773,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.000994426,0.000595638,1.51424e-06,-0.00141029,-0.00175601,0.00027393,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,-0.000675571,0.000783301,1.52576e-06,-0.0015631,-0.0014901,0.000360387,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000573528,0.000807568,1.4728e-06,-0.00157758,-0.00139398,0.000394881,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00058394,0.000841154,1.32197e-06,-0.0016098,-0.00140627,0.000397425,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000595532,0.000858678,1.31814e-06,-0.00162933,-0.00142488,0.000403847,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000593339,0.000833384,1.49869e-06,-0.001605,-0.00141682,0.000389383,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000594452,0.000812385,1.61418e-06,-0.00159373,-0.00141594,0.000383517,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000601943,0.000782902,1.36643e-06,-0.00156705,-0.00142283,0.000388733,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000592506,0.000760093,1.28727e-06,-0.00154297,-0.00140149,0.000386922,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.0005942,0.000740195,1.66761e-06,-0.00151452,-0.00141043,0.000398475,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000612456,0.000725955,1.90149e-06,-0.00150626,-0.00143541,0.000412009,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000621843,0.000720046,1.87123e-06,-0.00150344,-0.00144753,0.000410124,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000616334,0.000700304,1.60199e-06,-0.0014914,-0.00144353,0.000413933,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00059927,0.00066258,1.29196e-06,-0.00144669,-0.00142853,0.000459059,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000566699,0.000641327,1.11553e-06,-0.00142376,-0.00139336,0.000499193,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000531772,0.00063039,9.00804e-07,-0.00141606,-0.00135197,0.000528908,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000509582,0.000649695,4.62455e-07,-0.00144447,-0.00132973,0.000547057,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000480078,0.000653865,-4.03324e-08,-0.00144972,-0.001303,0.000568817,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000487145,0.000649881,-1.19197e-07,-0.00145465,-0.00131755,0.00055927,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000500846,0.000639673,-1.13202e-07,-0.00144018,-0.00134233,0.000553987,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000492143,0.000632093,-1.43046e-07,-0.0014378,-0.00133251,0.00054934,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000498554,0.000592993,-2.78075e-07,-0.00140104,-0.0013414,0.00056689,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000499207,0.00055344,-3.06463e-07,-0.00137063,-0.00133793,0.000559463,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000499738,0.000508173,-3.09938e-07,-0.00132986,-0.00133426,0.00054725,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000485043,0.000462891,-1.64901e-07,-0.00128921,-0.00131618,0.00054187,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000482152,0.000405886,2.56298e-07,-0.00124007,-0.00130415,0.000513187,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000474913,0.000337219,8.9929e-07,-0.00117839,-0.00129686,0.00050239,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000493317,0.000295906,9.89231e-07,-0.00115085,-0.00130922,0.000491879,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000493749,0.000253358,6.51072e-07,-0.00110047,-0.00130437,0.000461012,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000472001,0.000234448,3.39707e-07,-0.00109423,-0.00127461,0.000454325,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000498066,0.000198268,2.44501e-07,-0.00106801,-0.00130402,0.000459801,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000507644,0.00015392,-4.80996e-08,-0.00103203,-0.00131851,0.000455749,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.000532235,9.86066e-05,-4.45223e-07,-0.000989521,-0.00133807,0.000439593,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000533053,2.97147e-05,-6.03335e-07,-0.000934479,-0.00134155,0.000439956,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000550965,-9.4952e-06,-5.99558e-07,-0.000907117,-0.00135867,0.000436967,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000568204,-4.89518e-05,-6.2888e-07,-0.000878968,-0.00137714,0.000443813,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000590156,-7.10793e-05,-5.97987e-07,-0.000866509,-0.00139778,0.000438405,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000602835,-0.000103777,-4.09676e-07,-0.000842394,-0.00140514,0.000431087,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000589434,-0.000122176,2.81676e-08,-0.000824662,-0.00138571,0.000441179,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000590908,-0.000119652,6.60462e-07,-0.000836167,-0.00138806,0.000434771,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000574422,-0.000152279,1.15538e-06,-0.000803349,-0.00136313,0.000437237,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000593295,-0.000198925,1.18979e-06,-0.000766777,-0.00137682,0.00041906,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00062108,-0.000230608,1.13505e-06,-0.00075588,-0.00139953,0.000421546,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000632666,-0.000279851,1.38254e-06,-0.000718959,-0.00141017,0.000429075,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000618495,-0.000317218,1.32343e-06,-0.000686752,-0.00139938,0.000434529,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000604396,-0.000367348,8.03489e-07,-0.00064193,-0.00139005,0.00045404,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000593975,-0.000421698,7.31804e-07,-0.000605665,-0.00138554,0.00046605,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000572388,-0.000454816,3.47894e-07,-0.000596431,-0.00137999,0.000475371,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000539356,-0.000485615,2.49067e-07,-0.000564505,-0.0013527,0.000507168,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00048891,-0.00050357,1.88464e-07,-0.000563679,-0.0013115,0.000488451,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000433802,-0.000526722,1.1511e-07,-0.000543435,-0.00127023,0.000530399,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000382402,-0.000556336,-2.68643e-07,-0.000523648,-0.00123207,0.000548309,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000351336,-0.000572775,-6.51218e-07,-0.000516974,-0.00121699,0.000542763,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00030284,-0.000578649,-9.41844e-07,-0.000514152,-0.00117404,0.000568999,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000259772,-0.000610154,-1.02942e-06,-0.000491158,-0.00115055,0.000606796,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000195601,-0.000639052,-9.48069e-07,-0.000472136,-0.00109749,0.000606428,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000152071,-0.000667464,-7.42662e-07,-0.000457236,-0.00107498,0.000610367,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-9.98824e-05,-0.000684666,-4.4657e-07,-0.000450597,-0.00104004,0.000608603,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-1.80267e-05,-0.000663521,-2.76804e-07,-0.000489132,-0.000979593,0.000520948,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,2.84229e-05,-0.000668325,1.4614e-07,-0.000477509,-0.000949474,0.000574437,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,6.34441e-05,-0.000711907,4.66285e-07,-0.000438594,-0.000931025,0.000608427,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,8.82725e-05,-0.000744458,5.74154e-07,-0.000404071,-0.00092506,0.000654875,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000115069,-0.000756526,-1.94773e-08,-0.000396025,-0.000909426,0.000672161,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000152989,-0.000758278,-4.5343e-07,-0.00039282,-0.000881519,0.000697796,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000174136,-0.000763162,-6.5701e-08,-0.0003868,-0.000867159,0.000710257,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000186458,-0.000756222,5.21086e-07,-0.00039158,-0.00086409,0.000712085,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000194759,-0.000736277,9.32379e-07,-0.000406993,-0.000859265,0.000724566,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000209624,-0.000712897,9.30497e-07,-0.00041651,-0.000852799,0.000738589,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000198332,-0.000672929,1.01985e-06,-0.000442924,-0.000863021,0.000739809,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000202171,-0.00063868,9.17894e-07,-0.000459778,-0.000858785,0.000761878,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000229866,-0.000596698,4.5034e-07,-0.000492251,-0.000828205,0.000814543,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00024465,-0.000551427,-5.65835e-08,-0.000532229,-0.000814294,0.000840969,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000258712,-0.000513549,-2.64635e-07,-0.00055752,-0.000810478,0.00085212,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.0002724,-0.000473902,-1.76806e-07,-0.000579062,-0.000798998,0.000876485,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000283027,-0.000420294,-1.08215e-07,-0.000609971,-0.000784581,0.000922488,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000298086,-0.000368004,-8.47512e-08,-0.000651854,-0.000772048,0.000952451,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000330457,-0.0003136,-3.12479e-07,-0.000683475,-0.000751532,0.000970608,0.999999,0,0,0.6525,0,0,0,1
