timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1700000000.255000,-0.000001,0.000000,0.000000,-0.000207,-0.001017,0.000023,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.260000,-0.000041,0.000002,-0.000000,-0.000208,-0.001032,0.000014,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.265000,-0.000063,-0.000032,-0.000000,-0.000180,-0.001045,0.000003,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.270000,-0.000071,-0.000067,-0.000000,-0.000145,-0.001040,0.000010,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.275000,-0.000078,-0.000081,-0.000000,-0.000149,-0.001031,0.000010,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.280000,-0.000054,-0.000068,-0.000000,-0.000207,-0.000949,0.000023,1.000000,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.285000,-0.000073,-0.000074,-0.000000,-0.000223,-0.000989,0.000019,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.290000,-0.000079,-0.000059,-0.000000,-0.000310,-0.000985,0.000039,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.295000,-0.000085,-0.000046,-0.000000,-0.000397,-0.000990,0.000038,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.300000,-0.000087,-0.000072,-0.000000,-0.000317,-0.000969,0.000031,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.305000,-0.000062,-0.000044,-0.000001,-0.000495,-0.000820,0.000048,1.000000,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.310000,-0.000046,-0.000029,-0.000000,-0.000608,-0.000730,0.000063,1.000000,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.315000,-0.000025,-0.000032,-0.000001,-0.000605,-0.000605,0.000065,1.000000,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.320000,-0.000025,-0.000058,-0.000001,-0.000466,-0.000620,0.000059,1.000000,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.325000,-0.000039,-0.000075,-0.000001,-0.000397,-0.000721,0.000060,1.000000,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.330000,-0.000033,-0.000079,-0.000001,-0.000428,-0.000677,0.000054,1.000000,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.335000,-0.000022,-0.000081,-0.000001,-0.000465,-0.000601,0.000050,1.000000,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.340000,-0.000018,-0.000055,-0.000002,-0.000699,-0.000577,0.000054,1.000000,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.345000,0.000004,-0.000061,-0.000002,-0.000655,-0.000416,0.000054,1.000000,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.350000,0.000015,-0.000074,-0.000002,-0.000559,-0.000360,0.000055,1.000000,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.355000,0.000034,-0.000102,-0.000002,-0.000363,-0.000247,0.000058,1.000000,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.360000,0.000031,-0.000083,-0.000001,-0.000599,-0.000344,0.000061,1.000000,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.365000,0.000027,-0.000084,-0.000001,-0.000622,-0.000437,0.000050,1.000000,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.370000,0.000017,-0.000095,-0.000001,-0.000551,-0.000587,0.000053,1.000000,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.375000,0.000027,-0.000116,-0.000001,-0.000387,-0.000521,0.000057,1.000000,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
1700000000.380000,0.000032,-0.000120,-0.000001,-0.000402,-0.000504,0.000051,1.000000,0.000000,0.000000,0.652500,0.000000,0.000000,0.481129,0.876650
