timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1700000000.255000,-0.000001,-0.000000,0.000000,-0.000688,-0.001041,-0.000003,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.260000,-0.000036,-0.000036,-0.000000,-0.000675,-0.001054,0.000004,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.265000,-0.000010,-0.000026,-0.000000,-0.000687,-0.001029,0.000011,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.270000,0.000000,-0.000018,-0.000000,-0.000704,-0.001011,0.000009,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.275000,-0.000000,-0.000049,-0.000000,-0.000653,-0.001011,0.000008,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.280000,-0.000009,-0.000046,-0.000000,-0.000673,-0.001034,0.000008,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.285000,-0.000018,-0.000060,-0.000000,-0.000648,-0.001060,0.000004,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.290000,0.000001,-0.000079,-0.000001,-0.000606,-0.000983,0.000000,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.295000,0.000016,-0.000080,-0.000001,-0.000629,-0.000926,0.000005,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.300000,0.000024,-0.000105,-0.000000,-0.000545,-0.000905,0.000011,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.305000,0.000009,-0.000105,-0.000000,-0.000585,-0.000994,0.000004,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.310000,0.000025,-0.000108,-0.000000,-0.000606,-0.000912,-0.000002,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.315000,0.000000,-0.000110,0.000000,-0.000633,-0.001076,0.000011,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.320000,0.000029,-0.000104,0.000000,-0.000708,-0.000908,0.000016,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.325000,0.000003,-0.000128,0.000000,-0.000571,-0.001100,-0.000001,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.330000,0.000000,-0.000127,-0.000000,-0.000615,-0.001139,0.000006,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.335000,-0.000007,-0.000150,0.000000,-0.000483,-0.001212,0.000005,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.340000,-0.000006,-0.000152,0.000000,-0.000528,-0.001218,-0.000002,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.345000,-0.000005,-0.000135,0.000001,-0.000737,-0.001229,-0.000010,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.350000,-0.000033,-0.000151,0.000001,-0.000642,-0.001481,-0.000014,0.999999,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
1700000000.355000,-0.000046,-0.000141,0.000001,-0.000791,-0.001562,-0.000019,0.999998,0.000000,0.000000,0.652500,0.000000,0.000000,0.000000,1.000000
